0;Chain_8;Chain_10;Chain_12;Chain_21;Chain_23;Chain_26;Chain_28;Chain_29;Chain_30;Chain_34;Chain_35;Chain_40;Chain_41;Chain_43;Chain_49;Chain_53;Chain_54;Chain_56;Chain_60;Chain_74;Chain_77;Chain_91;Chain_95;Chain_99;Chain_100;Chain_101;Chain_104;Chain_106;Chain_108;Chain_120;Chain_141;Chain_153;Chain_166;Chain_168;Chain_173;Chain_177;Chain_184;Chain_187;Chain_205;Chain_206;Chain_222;Chain_229;Chain_243;Chain_245;Chain_248;Chain_250;Chain_251;Chain_255;Chain_264;Chain_267;Chain_269;Chain_275;Chain_288;Chain_295;Chain_301;Chain_304;Chain_324;Chain_326;Chain_327;Chain_334;Chain_335;Chain_338;Chain_340;Chain_351;Chain_358;Chain_366;Chain_376
11;0.337116046;1.9856368;1.296619089;0.594570422;1.862728592;1.403424676;0.930550861;1.569281279;0.556354408;0.267720168;1.324572185;1.53764669;1.521828631;1.497059148;0.259979474;0.890655601;0.481086904;1.280364989;1.772274279;0.344425556;0.594138869;0.451445945;0.264857981;1.509706695;1.002611742;0.492314527;1.588162038;1.274735863;0.482397251;0.602167441;1.956250097;0.503176918;0.257570511;0.475261691;0.446851185;0.679916019;0.757399145;0.922547745;0.363650142;0.738290695;0.755095439;0.884198045;1.349173371;0.614276659;1.297954849;0.658825679;2.19613105;0.429758919;1.042223062;2.260083579;1.780907466;0.868287355;0.122170386;0.578558302;0.349446793;0.547415883;1.123285895;0.395610155;0.928659737;0.519355975;0.812875145;1.542362372;1.477793976;1.455923144;1.576764227;0.437245679;2.986796034
12;0.70166798;0.526625227;1.296619089;2.013414183;1.452707776;1.754050771;0.233072554;1.471270775;0.569593961;1.146971753;0.272643675;0.314660976;0.480784743;0.447439155;0.204782147;1.696404998;0.274305834;1.121070787;1.698342075;1.2485431;1.410404347;0.285212315;0.413760936;0.694506918;0.585204062;0.625860441;0.794537564;1.368959376;0.993788881;0.441122029;1.366274727;1.263581763;1.599564082;0.677585864;0.480633512;0.527842313;0.565704765;0.797925791;0.611175776;1.461985047;1.463313764;0.709102166;0.279432567;0.52732788;1.335483436;2.349544624;1.138285837;1.133832415;0.884433459;1.373311237;0.546852799;0.616215081;0.777499066;2.036694241;1.072239664;0.601972049;0.168989041;0.920048793;1.132845043;1.406005502;1.737510847;0.829155251;0.647690341;1.231222255;0.776327604;0.770914442;1.010674875
13;0.337116046;1.9856368;1.296619089;0.594570422;1.862728592;1.403424676;0.930550861;1.569281279;0.556354408;0.267720168;1.324572185;1.53764669;1.521828631;1.497059148;0.259979474;0.890655601;0.481086904;1.280364989;1.772274279;0.344425556;1.156415119;0.451445945;0.264857981;1.509706695;1.002611742;0.492314527;1.588162038;1.274735863;0.482397251;0.602167441;1.956250097;0.503176918;0.257570511;0.475261691;0.446851185;0.679916019;0.757399145;0.922547745;0.363650142;0.738290695;0.755095439;0.884198045;1.349173371;0.614276659;1.297954849;0.658825679;2.19613105;0.429758919;1.042223062;2.260083579;1.780907466;0.868287355;0.122170386;0.578558302;0.349446793;0.547415883;1.123285895;0.395610155;0.928659737;0.519355975;0.812875145;1.542362372;1.477793976;1.455923144;1.576764227;0.437245679;2.986796034
14;0.70166798;0.526625227;1.296619089;2.013414183;1.452707776;1.754050771;0.233072554;1.471270775;0.569593961;1.146971753;0.272643675;0.314660976;0.480784743;0.447439155;0.204782147;1.696404998;0.274305834;1.121070787;1.698342075;1.2485431;1.410404347;0.285212315;0.413760936;0.694506918;0.585204062;0.625860441;0.794537564;1.368959376;0.993788881;0.441122029;1.366274727;1.263581763;1.599564082;0.677585864;0.480633512;0.527842313;0.565704765;0.797925791;0.611175776;1.461985047;1.463313764;0.709102166;0.279432567;0.52732788;1.181159621;2.349544624;1.138285837;1.133832415;0.884433459;1.373311237;0.546852799;0.616215081;0.383993372;2.036694241;1.072239664;0.601972049;0.168989041;0.920048793;1.132845043;1.406005502;1.737510847;0.829155251;0.647690341;1.231222255;0.776327604;0.770914442;1.010674875
15;0.337116046;1.9856368;1.296619089;0.594570422;1.862728592;1.403424676;0.930550861;1.569281279;0.556354408;0.267720168;1.324572185;1.53764669;1.521828631;1.497059148;0.259979474;0.890655601;0.481086904;1.280364989;1.772274279;0.344425556;1.156415119;0.451445945;0.264857981;1.509706695;1.002611742;0.492314527;1.588162038;1.274735863;0.482397251;0.602167441;1.956250097;0.503176918;0.257570511;0.475261691;0.446851185;0.679916019;0.757399145;0.922547745;0.363650142;0.738290695;0.755095439;0.884198045;1.349173371;0.614276659;1.297954849;0.658825679;2.19613105;0.429758919;1.042223062;2.260083579;1.780907466;0.868287355;0.122170386;0.578558302;0.349446793;0.547415883;1.123285895;0.395610155;0.928659737;0.519355975;0.812875145;1.542362372;1.477793976;1.455923144;1.576764227;0.437245679;2.986796034
16;0.70166798;0.526625227;1.296619089;2.013414183;1.452707776;1.754050771;0.233072554;1.471270775;0.569593961;1.146971753;0.272643675;0.314660976;0.480784743;0.447439155;0.204782147;1.696404998;0.274305834;1.121070787;1.698342075;1.139992222;1.410404347;0.285212315;0.413760936;0.694506918;0.585204062;0.625860441;0.794537564;1.368959376;0.993788881;0.441122029;1.366274727;1.263581763;1.599564082;0.677585864;0.480633512;0.527842313;0.565704765;0.797925791;0.611175776;1.461985047;1.463313764;0.709102166;0.279432567;0.52732788;1.181159621;2.349544624;1.138285837;1.133832415;0.884433459;1.373311237;0.546852799;0.616215081;0.383993372;2.036694241;1.072239664;0.601972049;0.168989041;0.920048793;1.132845043;1.406005502;1.737510847;0.829155251;0.647690341;1.231222255;0.776327604;0.770914442;1.010674875
17;0.337116046;1.9856368;1.296619089;0.594570422;1.862728592;1.403424676;0.930550861;1.569281279;0.556354408;0.267720168;1.324572185;1.53764669;1.521828631;1.497059148;0.862451547;0.890655601;0.481086904;1.280364989;1.772274279;0.344425556;1.156415119;0.451445945;0.264857981;1.509706695;1.002611742;0.492314527;1.588162038;1.274735863;0.482397251;0.602167441;1.956250097;0.503176918;0.257570511;0.475261691;0.446851185;0.679916019;2.226480118;0.922547745;0.363650142;0.738290695;0.755095439;0.884198045;1.349173371;0.614276659;1.297954849;0.658825679;2.19613105;0.429758919;1.042223062;2.260083579;1.780907466;0.868287355;0.122170386;0.578558302;0.349446793;0.547415883;1.123285895;0.395610155;0.928659737;0.519355975;0.812875145;1.542362372;1.477793976;1.455923144;1.576764227;0.437245679;2.986796034
18;0.70166798;0.526625227;1.296619089;0.484546764;1.452707776;1.754050771;0.233072554;0.949772138;0.569593961;1.146971753;1.430600062;0.314660976;0.480784743;0.447439155;0.204782147;1.696404998;0.274305834;1.121070787;0.555573203;1.139992222;1.410404347;0.285212315;0.413760936;0.694506918;0.585204062;0.625860441;0.794537564;1.368959376;0.993788881;0.441122029;1.366274727;1.263581763;1.599564082;0.677585864;0.480633512;0.527842313;0.565704765;0.797925791;0.611175776;1.461985047;1.463313764;0.709102166;0.279432567;0.52732788;1.181159621;2.349544624;1.138285837;1.133832415;0.884433459;1.373311237;0.546852799;0.616215081;0.383993372;2.036694241;1.072239664;0.601972049;1.023699547;0.920048793;1.132845043;1.406005502;1.737510847;0.829155251;0.647690341;1.231222255;0.776327604;0.770914442;1.010674875
19;0.337116046;1.9856368;1.296619089;0.594570422;1.862728592;1.403424676;0.930550861;1.569281279;0.556354408;0.267720168;1.324572185;1.53764669;1.521828631;1.497059148;0.862451547;0.890655601;0.481086904;1.280364989;1.772274279;0.344425556;1.156415119;0.451445945;0.264857981;1.509706695;1.002611742;0.492314527;1.588162038;1.274735863;0.482397251;0.602167441;1.956250097;0.503176918;0.257570511;0.475261691;0.446851185;0.679916019;2.226480118;0.922547745;0.363650142;0.738290695;0.755095439;0.884198045;1.349173371;0.614276659;1.297954849;0.658825679;2.19613105;0.429758919;1.042223062;2.260083579;1.780907466;0.868287355;0.122170386;0.578558302;0.349446793;0.547415883;1.123285895;0.395610155;0.928659737;0.519355975;0.812875145;1.542362372;1.477793976;1.455923144;1.576764227;1.135238122;2.986796034
20;0.70166798;0.526625227;1.296619089;0.519631224;1.452707776;1.754050771;0.233072554;0.949772138;0.569593961;1.146971753;1.430600062;0.314660976;0.480784743;0.447439155;0.204782147;1.696404998;0.274305834;1.121070787;0.555573203;1.455495306;1.410404347;0.285212315;0.413760936;0.694506918;0.585204062;0.625860441;0.794537564;1.368959376;0.993788881;0.441122029;1.366274727;1.263581763;1.599564082;0.677585864;0.480633512;0.527842313;0.565704765;0.797925791;0.611175776;1.461985047;1.463313764;0.709102166;0.279432567;0.52732788;1.181159621;2.129549548;1.138285837;1.133832415;0.884433459;1.373311237;0.546852799;0.616215081;0.383993372;2.036694241;1.072239664;0.601972049;1.023699547;0.920048793;1.132845043;1.406005502;1.737510847;0.829155251;0.647690341;1.231222255;0.776327604;0.770914442;1.010674875
21;0.337116046;1.9856368;1.296619089;0.594570422;1.862728592;1.403424676;1.432554162;1.569281279;1.05024971;0.267720168;1.324572185;1.53764669;1.521828631;1.497059148;0.862451547;0.890655601;0.481086904;1.280364989;1.772274279;0.344425556;1.156415119;0.451445945;0.264857981;1.509706695;1.002611742;0.492314527;1.588162038;1.274735863;0.482397251;0.602167441;1.956250097;0.503176918;0.257570511;0.475261691;0.446851185;0.679916019;2.226480118;0.922547745;0.363650142;0.738290695;0.755095439;0.884198045;1.349173371;0.614276659;1.297954849;0.658825679;2.19613105;0.429758919;1.042223062;2.260083579;1.780907466;0.868287355;0.122170386;0.578558302;0.349446793;0.547415883;1.123285895;0.395610155;0.928659737;0.519355975;0.812875145;1.542362372;1.477793976;1.455923144;1.576764227;1.135238122;2.986796034
22;0.70166798;0.526625227;1.296619089;0.519631224;1.452707776;1.754050771;0.233072554;0.949772138;0.569593961;1.146971753;1.430600062;0.314660976;0.480784743;0.447439155;0.204782147;1.696404998;0.274305834;1.121070787;0.555573203;1.455495306;1.410404347;0.285212315;0.413760936;0.694506918;0.585204062;0.625860441;0.794537564;1.368959376;0.993788881;0.441122029;1.366274727;1.263581763;1.599564082;0.677585864;0.480633512;0.527842313;0.565704765;0.797925791;0.611175776;1.461985047;1.463313764;0.709102166;0.279432567;0.52732788;1.181159621;2.129549548;1.138285837;1.133832415;0.884433459;1.373311237;0.546852799;0.616215081;0.383993372;2.036694241;1.072239664;0.601972049;1.023699547;0.920048793;1.132845043;1.406005502;1.737510847;0.829155251;0.647690341;1.231222255;0.776327604;0.770914442;1.010674875
23;0.337116046;0.430936166;1.296619089;0.594570422;1.862728592;1.403424676;1.432554162;1.569281279;1.05024971;0.523956657;1.324572185;1.53764669;1.521828631;1.497059148;0.862451547;0.890655601;0.630016945;1.280364989;1.772274279;0.344425556;1.156415119;0.451445945;0.264857981;1.509706695;1.002611742;0.492314527;1.588162038;1.274735863;0.482397251;0.602167441;1.956250097;0.503176918;0.257570511;0.475261691;0.446851185;0.679916019;2.226480118;0.922547745;0.363650142;0.738290695;0.755095439;0.884198045;1.349173371;0.614276659;1.297954849;0.658825679;2.19613105;0.429758919;1.042223062;2.260083579;1.780907466;0.868287355;0.122170386;0.578558302;0.349446793;0.547415883;1.123285895;0.395610155;0.928659737;0.519355975;0.812875145;1.542362372;1.477793976;1.455923144;1.576764227;1.135238122;2.986796034
24;0.70166798;0.526625227;1.296619089;0.519631224;1.452707776;1.754050771;0.233072554;0.949772138;0.569593961;1.849855524;1.430600062;0.314660976;0.480784743;0.447439155;0.204782147;1.696404998;0.274305834;1.121070787;1.692487189;1.455495306;1.410404347;0.285212315;0.413760936;0.694506918;0.585204062;0.625860441;0.794537564;1.368959376;0.993788881;0.441122029;1.366274727;0.823258154;1.599564082;0.677585864;0.480633512;0.527842313;0.565704765;0.797925791;0.611175776;1.461985047;1.463313764;0.709102166;0.279432567;0.52732788;1.181159621;2.129549548;1.138285837;1.133832415;0.884433459;1.373311237;0.546852799;0.616215081;0.383993372;2.036694241;1.072239664;0.601972049;1.023699547;0.920048793;1.132845043;1.406005502;1.737510847;0.829155251;0.647690341;1.231222255;0.776327604;0.770914442;1.010674875
25;0.98885256;0.430936166;1.296619089;0.594570422;1.862728592;1.403424676;1.432554162;1.569281279;1.05024971;0.523956657;1.324572185;1.53764669;1.521828631;1.497059148;0.862451547;0.890655601;0.630016945;1.280364989;1.772274279;0.344425556;1.156415119;0.451445945;0.264857981;1.509706695;1.002611742;0.492314527;1.588162038;1.274735863;0.482397251;0.602167441;1.956250097;0.503176918;0.257570511;0.475261691;0.446851185;0.679916019;2.226480118;0.922547745;0.363650142;0.738290695;0.755095439;0.884198045;1.349173371;0.614276659;1.297954849;0.658825679;2.19613105;0.429758919;1.042223062;2.260083579;1.780907466;0.868287355;0.122170386;0.578558302;0.349446793;0.547415883;1.123285895;0.395610155;0.928659737;0.519355975;0.812875145;1.542362372;1.477793976;1.455923144;1.576764227;1.135238122;2.986796034
26;0.70166798;0.526625227;1.296619089;0.519631224;1.452707776;1.754050771;0.233072554;0.949772138;0.569593961;1.849855524;1.430600062;0.314660976;0.480784743;0.447439155;0.204782147;1.696404998;0.274305834;1.121070787;1.692487189;1.455495306;1.410404347;0.285212315;0.413760936;0.694506918;0.585204062;0.625860441;0.794537564;1.368959376;0.993788881;0.441122029;1.366274727;0.823258154;1.599564082;0.677585864;0.480633512;0.527842313;0.565704765;0.797925791;0.611175776;1.461985047;1.463313764;0.709102166;0.279432567;0.52732788;1.181159621;2.129549548;1.138285837;1.133832415;0.884433459;1.373311237;0.546852799;0.616215081;0.383993372;2.036694241;1.072239664;0.601972049;1.023699547;0.920048793;1.132845043;1.406005502;1.737510847;0.829155251;0.647690341;1.231222255;0.776327604;0.770914442;1.010674875
27;0.98885256;0.430936166;1.296619089;0.594570422;1.862728592;1.403424676;1.432554162;1.569281279;1.05024971;0.523956657;1.324572185;1.53764669;1.521828631;1.497059148;0.862451547;0.890655601;0.630016945;1.280364989;1.772274279;0.344425556;1.156415119;0.451445945;0.264857981;1.509706695;1.002611742;0.492314527;1.588162038;1.274735863;0.482397251;0.602167441;1.956250097;0.503176918;0.257570511;0.475261691;0.446851185;0.679916019;2.226480118;0.922547745;0.363650142;0.738290695;0.755095439;0.884198045;1.349173371;0.614276659;1.297954849;0.658825679;2.19613105;0.429758919;1.042223062;2.260083579;1.780907466;0.868287355;0.122170386;0.578558302;0.349446793;0.547415883;1.123285895;0.395610155;0.928659737;0.519355975;0.812875145;1.542362372;1.477793976;1.455923144;1.576764227;1.135238122;2.986796034
28;0.70166798;0.526625227;1.296619089;0.519631224;1.452707776;1.754050771;0.233072554;0.949772138;0.569593961;1.849855524;1.430600062;0.314660976;0.480784743;0.447439155;0.204782147;1.696404998;0.274305834;1.121070787;1.692487189;1.455495306;1.410404347;0.285212315;0.413760936;0.694506918;0.585204062;0.625860441;0.794537564;1.368959376;0.993788881;0.441122029;1.366274727;0.823258154;1.599564082;0.677585864;0.480633512;0.527842313;0.565704765;0.797925791;0.611175776;1.461985047;1.463313764;0.709102166;0.279432567;0.52732788;1.181159621;2.129549548;1.138285837;1.133832415;0.884433459;1.373311237;0.546852799;0.616215081;0.383993372;2.036694241;1.072239664;0.601972049;1.023699547;0.920048793;1.132845043;1.406005502;1.737510847;0.829155251;0.647690341;1.231222255;0.776327604;0.770914442;1.010674875
29;0.98885256;0.430936166;1.296619089;0.594570422;1.862728592;1.403424676;1.432554162;1.569281279;1.05024971;0.523956657;1.324572185;1.53764669;1.521828631;1.497059148;0.862451547;0.890655601;0.630016945;1.280364989;1.772274279;0.344425556;1.156415119;0.451445945;0.264857981;1.509706695;1.002611742;0.492314527;1.588162038;1.274735863;0.482397251;0.602167441;1.956250097;0.503176918;0.257570511;0.475261691;0.603739335;0.679916019;2.226480118;0.922547745;0.363650142;0.738290695;0.755095439;0.884198045;1.349173371;0.614276659;1.297954849;0.658825679;2.19613105;0.429758919;1.042223062;2.260083579;1.780907466;0.868287355;0.122170386;0.578558302;0.349446793;0.547415883;1.123285895;0.395610155;0.928659737;0.519355975;0.812875145;1.542362372;1.477793976;1.455923144;1.576764227;1.135238122;2.986796034
30;0.70166798;0.526625227;1.296619089;0.519631224;1.452707776;1.754050771;0.233072554;0.949772138;0.569593961;1.849855524;1.430600062;0.314660976;0.480784743;0.447439155;0.204782147;1.696404998;0.274305834;1.121070787;1.692487189;1.455495306;1.410404347;0.285212315;0.413760936;0.694506918;0.585204062;0.625860441;0.794537564;1.368959376;0.993788881;0.441122029;1.366274727;0.823258154;1.599564082;0.677585864;0.480633512;0.527842313;0.565704765;0.797925791;0.611175776;1.461985047;1.463313764;0.709102166;0.279432567;0.52732788;1.181159621;2.129549548;1.138285837;1.133832415;0.884433459;1.373311237;0.546852799;0.616215081;0.383993372;2.036694241;1.072239664;0.601972049;1.023699547;0.920048793;1.132845043;1.406005502;1.737510847;0.829155251;0.647690341;1.231222255;0.776327604;0.770914442;1.010674875
31;0.98885256;0.430936166;1.296619089;0.594570422;1.862728592;1.403424676;1.432554162;1.569281279;1.05024971;0.523956657;1.324572185;1.53764669;1.521828631;1.497059148;0.862451547;0.890655601;0.630016945;1.280364989;1.772274279;0.344425556;1.156415119;0.451445945;0.264857981;1.509706695;1.002611742;0.866382002;1.588162038;1.274735863;0.482397251;0.602167441;1.956250097;0.503176918;0.257570511;0.475261691;0.603739335;0.679916019;2.226480118;0.922547745;0.363650142;0.738290695;0.755095439;0.884198045;1.349173371;0.614276659;1.297954849;0.658825679;2.19613105;0.429758919;1.042223062;2.260083579;1.780907466;0.868287355;0.122170386;0.578558302;0.349446793;0.547415883;1.123285895;0.395610155;0.928659737;0.711292092;0.812875145;1.542362372;1.477793976;1.455923144;1.576764227;1.135238122;0.410010646
32;0.70166798;0.526625227;1.296619089;0.519631224;1.452707776;1.754050771;0.233072554;0.949772138;0.569593961;1.849855524;1.430600062;0.314660976;0.480784743;0.447439155;0.204782147;1.696404998;0.274305834;1.121070787;1.692487189;1.455495306;1.410404347;0.285212315;0.413760936;0.694506918;0.585204062;0.625860441;0.794537564;1.368959376;0.993788881;0.441122029;1.366274727;0.823258154;1.599564082;0.677585864;0.480633512;0.527842313;0.565704765;0.797925791;0.611175776;1.461985047;1.463313764;0.709102166;0.279432567;0.52732788;1.181159621;2.129549548;1.138285837;1.133832415;0.884433459;1.373311237;0.546852799;0.616215081;0.383993372;2.036694241;0.94462848;1.498373439;1.023699547;0.920048793;1.132845043;1.406005502;1.737510847;0.829155251;0.647690341;1.231222255;0.776327604;0.770914442;1.010674875
