0;Chain_8;Chain_10;Chain_12;Chain_21;Chain_23;Chain_26;Chain_28;Chain_29;Chain_30;Chain_34;Chain_35;Chain_40;Chain_41;Chain_43;Chain_49;Chain_53;Chain_54;Chain_56;Chain_60;Chain_74;Chain_77;Chain_91;Chain_95;Chain_99;Chain_100;Chain_101;Chain_104;Chain_106;Chain_108;Chain_120;Chain_141;Chain_153;Chain_166;Chain_168;Chain_173;Chain_177;Chain_184;Chain_187;Chain_205;Chain_206;Chain_222;Chain_229;Chain_243;Chain_245;Chain_248;Chain_250;Chain_251;Chain_255;Chain_264;Chain_267;Chain_269;Chain_275;Chain_288;Chain_295;Chain_301;Chain_304;Chain_324;Chain_326;Chain_327;Chain_334;Chain_335;Chain_338;Chain_340;Chain_351;Chain_358;Chain_366;Chain_376
11;33.92929233;27.61085043;40.63139534;25.64127408;13.80951058;49.26843049;51.9009911;30.28311062;34.78720438;34.82647044;48.54349702;47.59939016;49.48495232;26.23572411;46.90739278;23.94946733;18.90524643;35.25026708;27.60257591;54.83565954;14.09782616;19.17571131;11.7291646;25.38573232;13.96596358;36.09984455;29.7881015;50.13663784;32.25226296;24.27354104;18.53486768;30.48627644;26.23912135;29.62442999;28.39429556;24.97076237;38.5728975;38.78310725;23.96490152;30.25203029;47.03794358;34.75594115;37.30356355;34.13201535;23.11390868;36.2713721;33.64019335;42.86251533;19.8740284;50.54017864;19.68804974;31.03469221;38.66578277;23.41730718;28.34633543;26.26953133;27.21631831;42.38646879;22.3814467;32.51035709;31.18070093;45.41835151;27.36909921;27.05062459;27.04336944;28.77201819;18.227232
12;38.38544594;31.3526504;40.63139534;20.56181778;25.45706653;37.5596343;31.95682669;33.78276038;24.13272926;27.45005753;37.67906312;16.6426973;33.22522246;34.79241369;31.22323524;43.57463364;33.77760395;25.85823923;23.82759693;23.39628803;39.83075455;39.02766661;27.86567278;25.85474022;32.30432163;33.26314919;25.74221609;19.45251996;20.28833636;49.96828401;28.0537441;6.694704121;25.08344119;36.73067053;26.16188519;24.69236521;31.33890377;34.64433288;37.26654477;23.57554625;43.87786069;33.73280515;35.57646755;47.84494367;31.86245162;44.20187738;38.48768106;44.87237469;14.6823096;34.34359149;29.18860703;28.42381276;38.15335166;28.32773155;31.13801719;11.99499047;22.5833077;35.03482158;50.75471652;44.22437588;34.53982124;44.97523283;32.26063751;26.13413535;20.62192316;43.46488708;28.26592336
13;33.92929233;27.61085043;40.63139534;25.64127408;13.80951058;49.26843049;51.9009911;30.28311062;34.78720438;34.82647044;48.54349702;47.59939016;49.48495232;26.23572411;46.90739278;23.94946733;18.90524643;35.25026708;27.60257591;54.83565954;27.25160426;19.17571131;11.7291646;25.38573232;13.96596358;36.09984455;29.7881015;50.13663784;32.25226296;24.27354104;18.53486768;30.48627644;26.23912135;29.62442999;28.39429556;24.97076237;38.5728975;38.78310725;23.96490152;30.25203029;47.03794358;34.75594115;37.30356355;34.13201535;23.11390868;36.2713721;33.64019335;42.86251533;19.8740284;50.54017864;19.68804974;31.03469221;38.66578277;23.41730718;28.34633543;26.26953133;27.21631831;42.38646879;22.3814467;32.51035709;31.18070093;45.41835151;27.36909921;27.05062459;27.04336944;28.77201819;18.227232
14;38.38544594;31.3526504;40.63139534;20.56181778;25.45706653;37.5596343;31.95682669;33.78276038;24.13272926;27.45005753;37.67906312;16.6426973;33.22522246;34.79241369;31.22323524;43.57463364;33.77760395;25.85823923;23.82759693;23.39628803;39.83075455;39.02766661;27.86567278;25.85474022;32.30432163;33.26314919;25.74221609;19.45251996;20.28833636;49.96828401;28.0537441;6.694704121;25.08344119;36.73067053;26.16188519;24.69236521;31.33890377;34.64433288;37.26654477;23.57554625;43.87786069;33.73280515;35.57646755;47.84494367;36.83717621;44.20187738;38.48768106;44.87237469;14.6823096;34.34359149;29.18860703;28.42381276;20.45484723;28.32773155;31.13801719;11.99499047;22.5833077;35.03482158;50.75471652;44.22437588;34.53982124;44.97523283;32.26063751;26.13413535;20.62192316;43.46488708;28.26592336
15;33.92929233;27.61085043;40.63139534;25.64127408;13.80951058;49.26843049;51.9009911;30.28311062;34.78720438;34.82647044;48.54349702;47.59939016;49.48495232;26.23572411;46.90739278;23.94946733;18.90524643;35.25026708;27.60257591;54.83565954;27.25160426;19.17571131;11.7291646;25.38573232;13.96596358;36.09984455;29.7881015;50.13663784;32.25226296;24.27354104;18.53486768;30.48627644;26.23912135;29.62442999;28.39429556;24.97076237;38.5728975;38.78310725;23.96490152;30.25203029;47.03794358;34.75594115;37.30356355;34.13201535;23.11390868;36.2713721;33.64019335;42.86251533;19.8740284;50.54017864;19.68804974;31.03469221;38.66578277;23.41730718;28.34633543;26.26953133;27.21631831;42.38646879;22.3814467;32.51035709;31.18070093;45.41835151;27.36909921;27.05062459;27.04336944;28.77201819;18.227232
16;38.38544594;31.3526504;40.63139534;20.56181778;25.45706653;37.5596343;31.95682669;33.78276038;24.13272926;27.45005753;37.67906312;16.6426973;33.22522246;34.79241369;31.22323524;43.57463364;33.77760395;25.85823923;23.82759693;29.44150812;39.83075455;39.02766661;27.86567278;25.85474022;32.30432163;33.26314919;25.74221609;19.45251996;20.28833636;49.96828401;28.0537441;6.694704121;25.08344119;36.73067053;26.16188519;24.69236521;31.33890377;34.64433288;37.26654477;23.57554625;43.87786069;33.73280515;35.57646755;47.84494367;36.83717621;44.20187738;38.48768106;44.87237469;14.6823096;34.34359149;29.18860703;28.42381276;20.45484723;28.32773155;31.13801719;11.99499047;22.5833077;35.03482158;50.75471652;44.22437588;34.53982124;44.97523283;32.26063751;26.13413535;20.62192316;43.46488708;28.26592336
17;33.92929233;27.61085043;40.63139534;25.64127408;13.80951058;49.26843049;51.9009911;30.28311062;34.78720438;34.82647044;48.54349702;47.59939016;49.48495232;26.23572411;37.0472486;23.94946733;18.90524643;35.25026708;27.60257591;54.83565954;27.25160426;19.17571131;11.7291646;25.38573232;13.96596358;36.09984455;29.7881015;50.13663784;32.25226296;24.27354104;18.53486768;30.48627644;26.23912135;29.62442999;28.39429556;24.97076237;54.67334089;38.78310725;23.96490152;30.25203029;47.03794358;34.75594115;37.30356355;34.13201535;23.11390868;36.2713721;33.64019335;42.86251533;19.8740284;50.54017864;19.68804974;31.03469221;38.66578277;23.41730718;28.34633543;26.26953133;27.21631831;42.38646879;22.3814467;32.51035709;31.18070093;45.41835151;27.36909921;27.05062459;27.04336944;28.77201819;18.227232
18;38.38544594;31.3526504;40.63139534;35.32540948;25.45706653;37.5596343;31.95682669;28.00568988;24.13272926;27.45005753;35.74089406;16.6426973;33.22522246;34.79241369;31.22323524;43.57463364;33.77760395;25.85823923;21.82845939;29.44150812;39.83075455;39.02766661;27.86567278;25.85474022;32.30432163;33.26314919;25.74221609;19.45251996;20.28833636;49.96828401;28.0537441;6.694704121;25.08344119;36.73067053;26.16188519;24.69236521;31.33890377;34.64433288;37.26654477;23.57554625;43.87786069;33.73280515;35.57646755;47.84494367;36.83717621;44.20187738;38.48768106;44.87237469;14.6823096;34.34359149;29.18860703;28.42381276;20.45484723;28.32773155;31.13801719;11.99499047;23.4152622;35.03482158;50.75471652;44.22437588;34.53982124;44.97523283;32.26063751;26.13413535;20.62192316;43.46488708;28.26592336
19;33.92929233;27.61085043;40.63139534;25.64127408;13.80951058;49.26843049;51.9009911;30.28311062;34.78720438;34.82647044;48.54349702;47.59939016;49.48495232;26.23572411;37.0472486;23.94946733;18.90524643;35.25026708;27.60257591;54.83565954;27.25160426;19.17571131;11.7291646;25.38573232;13.96596358;36.09984455;29.7881015;50.13663784;32.25226296;24.27354104;18.53486768;30.48627644;26.23912135;29.62442999;28.39429556;24.97076237;54.67334089;38.78310725;23.96490152;30.25203029;47.03794358;34.75594115;37.30356355;34.13201535;23.11390868;36.2713721;33.64019335;42.86251533;19.8740284;50.54017864;19.68804974;31.03469221;38.66578277;23.41730718;28.34633543;26.26953133;27.21631831;42.38646879;22.3814467;32.51035709;31.18070093;45.41835151;27.36909921;27.05062459;27.04336944;30.40965641;18.227232
20;38.38544594;31.3526504;40.63139534;31.91207302;25.45706653;37.5596343;31.95682669;28.00568988;24.13272926;27.45005753;35.74089406;16.6426973;33.22522246;34.79241369;31.22323524;43.57463364;33.77760395;25.85823923;21.82845939;19.41978046;39.83075455;39.02766661;27.86567278;25.85474022;32.30432163;33.26314919;25.74221609;19.45251996;20.28833636;49.96828401;28.0537441;6.694704121;25.08344119;36.73067053;26.16188519;24.69236521;31.33890377;34.64433288;37.26654477;23.57554625;43.87786069;33.73280515;35.57646755;47.84494367;36.83717621;36.95568498;38.48768106;44.87237469;14.6823096;34.34359149;29.18860703;28.42381276;20.45484723;28.32773155;31.13801719;11.99499047;23.4152622;35.03482158;50.75471652;44.22437588;34.53982124;44.97523283;32.26063751;26.13413535;20.62192316;43.46488708;28.26592336
21;33.92929233;27.61085043;40.63139534;25.64127408;13.80951058;49.26843049;28.33883247;30.28311062;40.46937946;34.82647044;48.54349702;47.59939016;49.48495232;26.23572411;37.0472486;23.94946733;18.90524643;35.25026708;27.60257591;54.83565954;27.25160426;19.17571131;11.7291646;25.38573232;13.96596358;36.09984455;29.7881015;50.13663784;32.25226296;24.27354104;18.53486768;30.48627644;26.23912135;29.62442999;28.39429556;24.97076237;54.67334089;38.78310725;23.96490152;30.25203029;47.03794358;34.75594115;37.30356355;34.13201535;23.11390868;36.2713721;33.64019335;42.86251533;19.8740284;50.54017864;19.68804974;31.03469221;38.66578277;23.41730718;28.34633543;26.26953133;27.21631831;42.38646879;22.3814467;32.51035709;31.18070093;45.41835151;27.36909921;27.05062459;27.04336944;30.40965641;18.227232
22;38.38544594;31.3526504;40.63139534;31.91207302;25.45706653;37.5596343;31.95682669;28.00568988;24.13272926;27.45005753;35.74089406;16.6426973;33.22522246;34.79241369;31.22323524;43.57463364;33.77760395;25.85823923;21.82845939;19.41978046;39.83075455;39.02766661;27.86567278;25.85474022;32.30432163;33.26314919;25.74221609;19.45251996;20.28833636;49.96828401;28.0537441;6.694704121;25.08344119;36.73067053;26.16188519;24.69236521;31.33890377;34.64433288;37.26654477;23.57554625;43.87786069;33.73280515;35.57646755;47.84494367;36.83717621;36.95568498;38.48768106;44.87237469;14.6823096;34.34359149;29.18860703;28.42381276;20.45484723;28.32773155;31.13801719;11.99499047;23.4152622;35.03482158;50.75471652;44.22437588;34.53982124;44.97523283;32.26063751;26.13413535;20.62192316;43.46488708;28.26592336
23;33.92929233;57.70819424;40.63139534;25.64127408;13.80951058;49.26843049;28.33883247;30.28311062;40.46937946;31.57016698;48.54349702;47.59939016;49.48495232;26.23572411;37.0472486;23.94946733;23.06345976;35.25026708;27.60257591;54.83565954;27.25160426;19.17571131;11.7291646;25.38573232;13.96596358;36.09984455;29.7881015;50.13663784;32.25226296;24.27354104;18.53486768;30.48627644;26.23912135;29.62442999;28.39429556;24.97076237;54.67334089;38.78310725;23.96490152;30.25203029;47.03794358;34.75594115;37.30356355;34.13201535;23.11390868;36.2713721;33.64019335;42.86251533;19.8740284;50.54017864;19.68804974;31.03469221;38.66578277;23.41730718;28.34633543;26.26953133;27.21631831;42.38646879;22.3814467;32.51035709;31.18070093;45.41835151;27.36909921;27.05062459;27.04336944;30.40965641;18.227232
24;38.38544594;31.3526504;40.63139534;31.91207302;25.45706653;37.5596343;31.95682669;28.00568988;24.13272926;23.70374071;35.74089406;16.6426973;33.22522246;34.79241369;31.22323524;43.57463364;33.77760395;25.85823923;32.44040464;19.41978046;39.83075455;39.02766661;27.86567278;25.85474022;32.30432163;33.26314919;25.74221609;19.45251996;20.28833636;49.96828401;28.0537441;45.65297023;25.08344119;36.73067053;26.16188519;24.69236521;31.33890377;34.64433288;37.26654477;23.57554625;43.87786069;33.73280515;35.57646755;47.84494367;36.83717621;36.95568498;38.48768106;44.87237469;14.6823096;34.34359149;29.18860703;28.42381276;20.45484723;28.32773155;31.13801719;11.99499047;23.4152622;35.03482158;50.75471652;44.22437588;34.53982124;44.97523283;32.26063751;26.13413535;20.62192316;43.46488708;28.26592336
25;25.08426881;57.70819424;40.63139534;25.64127408;13.80951058;49.26843049;28.33883247;30.28311062;40.46937946;31.57016698;48.54349702;47.59939016;49.48495232;26.23572411;37.0472486;23.94946733;23.06345976;35.25026708;27.60257591;54.83565954;27.25160426;19.17571131;11.7291646;25.38573232;13.96596358;36.09984455;29.7881015;50.13663784;32.25226296;24.27354104;18.53486768;30.48627644;26.23912135;29.62442999;28.39429556;24.97076237;54.67334089;38.78310725;23.96490152;30.25203029;47.03794358;34.75594115;37.30356355;34.13201535;23.11390868;36.2713721;33.64019335;42.86251533;19.8740284;50.54017864;19.68804974;31.03469221;38.66578277;23.41730718;28.34633543;26.26953133;27.21631831;42.38646879;22.3814467;32.51035709;31.18070093;45.41835151;27.36909921;27.05062459;27.04336944;30.40965641;18.227232
26;38.38544594;31.3526504;40.63139534;31.91207302;25.45706653;37.5596343;31.95682669;28.00568988;24.13272926;23.70374071;35.74089406;16.6426973;33.22522246;34.79241369;31.22323524;43.57463364;33.77760395;25.85823923;32.44040464;19.41978046;39.83075455;39.02766661;27.86567278;25.85474022;32.30432163;33.26314919;25.74221609;19.45251996;20.28833636;49.96828401;28.0537441;45.65297023;25.08344119;36.73067053;26.16188519;24.69236521;31.33890377;34.64433288;37.26654477;23.57554625;43.87786069;33.73280515;35.57646755;47.84494367;36.83717621;36.95568498;38.48768106;44.87237469;14.6823096;34.34359149;29.18860703;28.42381276;20.45484723;28.32773155;31.13801719;11.99499047;23.4152622;35.03482158;50.75471652;44.22437588;34.53982124;44.97523283;32.26063751;26.13413535;20.62192316;43.46488708;28.26592336
27;25.08426881;57.70819424;40.63139534;25.64127408;13.80951058;49.26843049;28.33883247;30.28311062;40.46937946;31.57016698;48.54349702;47.59939016;49.48495232;26.23572411;37.0472486;23.94946733;23.06345976;35.25026708;27.60257591;54.83565954;27.25160426;19.17571131;11.7291646;25.38573232;13.96596358;36.09984455;29.7881015;50.13663784;32.25226296;24.27354104;18.53486768;30.48627644;26.23912135;29.62442999;28.39429556;24.97076237;54.67334089;38.78310725;23.96490152;30.25203029;47.03794358;34.75594115;37.30356355;34.13201535;23.11390868;36.2713721;33.64019335;42.86251533;19.8740284;50.54017864;19.68804974;31.03469221;38.66578277;23.41730718;28.34633543;26.26953133;27.21631831;42.38646879;22.3814467;32.51035709;31.18070093;45.41835151;27.36909921;27.05062459;27.04336944;30.40965641;18.227232
28;38.38544594;31.3526504;40.63139534;31.91207302;25.45706653;37.5596343;31.95682669;28.00568988;24.13272926;23.70374071;35.74089406;16.6426973;33.22522246;34.79241369;31.22323524;43.57463364;33.77760395;25.85823923;32.44040464;19.41978046;39.83075455;39.02766661;27.86567278;25.85474022;32.30432163;33.26314919;25.74221609;19.45251996;20.28833636;49.96828401;28.0537441;45.65297023;25.08344119;36.73067053;26.16188519;24.69236521;31.33890377;34.64433288;37.26654477;23.57554625;43.87786069;33.73280515;35.57646755;47.84494367;36.83717621;36.95568498;38.48768106;44.87237469;14.6823096;34.34359149;29.18860703;28.42381276;20.45484723;28.32773155;31.13801719;11.99499047;23.4152622;35.03482158;50.75471652;44.22437588;34.53982124;44.97523283;32.26063751;26.13413535;20.62192316;43.46488708;28.26592336
29;25.08426881;57.70819424;40.63139534;25.64127408;13.80951058;49.26843049;28.33883247;30.28311062;40.46937946;31.57016698;48.54349702;47.59939016;49.48495232;26.23572411;37.0472486;23.94946733;23.06345976;35.25026708;27.60257591;54.83565954;27.25160426;19.17571131;11.7291646;25.38573232;13.96596358;36.09984455;29.7881015;50.13663784;32.25226296;24.27354104;18.53486768;30.48627644;26.23912135;29.62442999;32.38022649;24.97076237;54.67334089;38.78310725;23.96490152;30.25203029;47.03794358;34.75594115;37.30356355;34.13201535;23.11390868;36.2713721;33.64019335;42.86251533;19.8740284;50.54017864;19.68804974;31.03469221;38.66578277;23.41730718;28.34633543;26.26953133;27.21631831;42.38646879;22.3814467;32.51035709;31.18070093;45.41835151;27.36909921;27.05062459;27.04336944;30.40965641;18.227232
30;38.38544594;31.3526504;40.63139534;31.91207302;25.45706653;37.5596343;31.95682669;28.00568988;24.13272926;23.70374071;35.74089406;16.6426973;33.22522246;34.79241369;31.22323524;43.57463364;33.77760395;25.85823923;32.44040464;19.41978046;39.83075455;39.02766661;27.86567278;25.85474022;32.30432163;33.26314919;25.74221609;19.45251996;20.28833636;49.96828401;28.0537441;45.65297023;25.08344119;36.73067053;26.16188519;24.69236521;31.33890377;34.64433288;37.26654477;23.57554625;43.87786069;33.73280515;35.57646755;47.84494367;36.83717621;36.95568498;38.48768106;44.87237469;14.6823096;34.34359149;29.18860703;28.42381276;20.45484723;28.32773155;31.13801719;11.99499047;23.4152622;35.03482158;50.75471652;44.22437588;34.53982124;44.97523283;32.26063751;26.13413535;20.62192316;43.46488708;28.26592336
31;25.08426881;57.70819424;40.63139534;25.64127408;13.80951058;49.26843049;28.33883247;30.28311062;40.46937946;31.57016698;48.54349702;47.59939016;49.48495232;26.23572411;37.0472486;23.94946733;23.06345976;35.25026708;27.60257591;54.83565954;27.25160426;19.17571131;11.7291646;25.38573232;13.96596358;44.66456714;29.7881015;50.13663784;32.25226296;24.27354104;18.53486768;30.48627644;26.23912135;29.62442999;32.38022649;24.97076237;54.67334089;38.78310725;23.96490152;30.25203029;47.03794358;34.75594115;37.30356355;34.13201535;23.11390868;36.2713721;33.64019335;42.86251533;19.8740284;50.54017864;19.68804974;31.03469221;38.66578277;23.41730718;28.34633543;26.26953133;27.21631831;42.38646879;22.3814467;34.63138781;31.18070093;45.41835151;27.36909921;27.05062459;27.04336944;30.40965641;27.22273968
32;38.38544594;31.3526504;40.63139534;31.91207302;25.45706653;37.5596343;31.95682669;28.00568988;24.13272926;23.70374071;35.74089406;16.6426973;33.22522246;34.79241369;31.22323524;43.57463364;33.77760395;25.85823923;32.44040464;19.41978046;39.83075455;39.02766661;27.86567278;25.85474022;32.30432163;33.26314919;25.74221609;19.45251996;20.28833636;49.96828401;28.0537441;45.65297023;25.08344119;36.73067053;26.16188519;24.69236521;31.33890377;34.64433288;37.26654477;23.57554625;43.87786069;33.73280515;35.57646755;47.84494367;36.83717621;36.95568498;38.48768106;44.87237469;14.6823096;34.34359149;29.18860703;28.42381276;20.45484723;28.32773155;32.94022386;36.34254342;23.4152622;35.03482158;50.75471652;44.22437588;34.53982124;44.97523283;32.26063751;26.13413535;20.62192316;43.46488708;28.26592336
