0;Chain_1;Chain_5;Chain_6;Chain_7;Chain_15;Chain_16;Chain_24;Chain_26;Chain_33;Chain_35;Chain_36;Chain_43;Chain_44;Chain_48;Chain_54;Chain_63;Chain_67;Chain_73;Chain_81;Chain_82;Chain_88;Chain_90;Chain_92;Chain_93;Chain_94;Chain_95;Chain_104;Chain_106;Chain_107;Chain_111;Chain_112;Chain_116;Chain_117;Chain_118;Chain_119;Chain_120;Chain_124;Chain_125;Chain_127;Chain_130;Chain_131;Chain_132;Chain_133;Chain_134;Chain_136;Chain_141;Chain_147;Chain_151;Chain_162;Chain_163;Chain_164;Chain_166;Chain_169;Chain_170;Chain_172;Chain_175;Chain_179;Chain_180;Chain_182;Chain_186;Chain_189;Chain_203;Chain_205;Chain_206;Chain_211;Chain_212;Chain_215;Chain_218;Chain_219;Chain_221;Chain_225;Chain_226;Chain_229;Chain_237;Chain_242;Chain_245;Chain_247;Chain_253;Chain_254;Chain_256;Chain_258;Chain_264;Chain_265;Chain_266;Chain_269;Chain_271;Chain_279;Chain_282;Chain_283;Chain_288;Chain_289;Chain_293;Chain_294;Chain_296;Chain_299;Chain_302;Chain_303;Chain_305;Chain_307;Chain_308;Chain_317;Chain_319;Chain_328;Chain_330;Chain_332;Chain_336;Chain_342;Chain_344;Chain_345;Chain_350;Chain_352;Chain_354;Chain_359;Chain_362;Chain_364;Chain_369;Chain_379;Chain_383
11;0.000171409;0.000165532;0.00019831;0.000122109;0.000200383;0.00014972;0.000105167;0.000282068;0.000189005;0.00019042;7.62E-05;0.000155425;0.000192821;0.000260682;0.000183009;0.000149002;0.000226555;0.000188126;0.000146898;0.000174262;0.000224681;0.000249586;0.000148414;0.000187079;9.28E-05;0.000147028;0.000255718;0.000205082;0.000224441;0.000351648;0.000129716;0.000450186;0.00019693;0.000235004;0.000173449;0.000191005;0.000387931;0.000208129;0.000242181;0.000249532;0.000346472;0.000139262;0.000196888;8.89E-05;0.000345518;0.000174042;0.000247337;0.000134764;0.000153532;0.000316691;0.000124745;0.000165957;0.0002322;0.000144741;0.000172458;8.71E-05;0.000186577;0.000165743;0.000177089;0.000187981;0.000249745;0.000131449;0.000310382;0.000174077;0.000200122;0.000284321;0.000311306;0.000201157;0.000124442;0.000177979;0.000147785;0.000164353;7.54E-05;0.000245087;0.00025029;0.000332414;0.000129275;0.000247867;0.000418874;0.000131183;0.000275155;0.00039348;0.000140535;0.000155166;0.000141066;0.000146184;0.000180589;0.000151946;0.000292979;0.000279581;0.000388905;0.000228935;0.000165282;0.000329555;0.000185662;0.000209719;0.000308724;0.000175924;9.87E-05;0.000300628;0.000290738;0.000224713;0.000187367;0.000292895;0.000320135;0.000178044;0.000175472;0.000245371;0.000312826;0.000383953;0.00018136;0.000165258;7.51E-05;0.000263645;0.000214062;0.000261134;0.000187814;0.000284232
12;0.000105035;0.000185582;0.000233171;9.45E-05;0.000184614;7.80E-05;0.000335788;0.000247709;7.93E-05;7.34E-05;0.000453415;0.000230751;0.000134348;0.000447252;0.000362122;0.000154863;0.000350962;0.000188126;0.000154741;0.00019198;0.000204017;0.000148391;0.000317318;0.000170982;0.000168373;0.000157931;0.000227627;0.000193762;0.000256011;0.000240456;0.000196533;8.55E-05;0.000288782;0.000211143;0.00011546;0.00010462;0.000208259;0.00011908;0.000199104;0.000165728;0.000197129;0.00015638;9.82E-05;0.000326297;0.000126769;0.000272036;0.000108596;0.000224306;0.000153704;0.000353661;0.000200768;9.53E-05;0.000187917;0.000261211;0.000172808;0.000291872;0.000182421;0.000134826;0.000222836;0.000146997;6.34E-05;0.000197055;0.000227932;0.000263727;0.000149589;0.000210252;0.000313435;0.000228927;0.000278223;0.000417985;0.000152168;0.000344547;0.000125047;0.000406264;0.000209659;0.000356527;0.000193325;0.000197926;0.000218972;0.000228137;0.00022616;0.000114149;0.000308416;0.000200573;0.000176884;0.000104321;0.00020016;0.000151946;0.000215479;0.000291462;0.000164853;0.000186735;0.000138592;0.000151632;0.000181251;8.63E-05;0.00018953;0.000175924;0.000159786;0.000319094;0.000115596;0.00027878;0.000403317;0.000238389;0.000219606;0.000217218;0.000191284;4.17E-05;0.000172924;0.000205628;0.000320827;0.000147763;9.14E-05;0.000263533;0.000273445;0.000209693;0.000255661;0.000165637
13;0.000171409;0.000165532;0.00019831;0.000122109;0.000200383;0.00014972;0.000105167;0.000282068;0.000189005;0.00019042;7.62E-05;0.000155425;0.000192821;0.000260682;0.000183009;0.000149002;0.000226555;0.000188126;0.000146898;0.000174262;0.000224681;0.000249586;0.000148414;0.000187079;9.28E-05;0.000147028;0.000255718;0.000205082;0.000224441;0.000351648;0.000129716;0.000450186;0.00019693;0.000235004;0.000173449;0.000191005;0.000387931;0.000208129;0.000242181;0.000249532;0.000346472;0.000139262;0.000196888;8.89E-05;0.000345518;0.000174042;0.000247337;0.000134764;0.000153532;0.000316691;0.000124745;0.000165957;0.00033706;0.000144741;0.000172458;8.71E-05;0.000186577;0.000165743;0.000177089;0.000187981;0.000249745;0.000131449;0.000310382;0.000174077;0.000200122;0.000284321;0.000311306;0.000201157;0.000124442;0.000177979;0.000147785;0.000164353;7.54E-05;0.000245087;0.00025029;0.000332414;0.000129275;0.000247867;0.000418874;0.000131183;0.000275155;0.00039348;0.000140535;0.000155166;0.000141066;0.000146184;0.000180589;0.000151946;0.000292979;0.000279581;0.000388905;0.000228935;0.000165282;0.000329555;0.000185662;0.000209719;0.000308724;0.000175924;9.87E-05;0.000300628;0.000290738;0.000224713;0.000187367;0.000292895;0.000320135;0.000178044;0.000175472;0.000245371;0.000312826;0.000383953;0.00018136;0.000165258;7.51E-05;0.000263645;0.000214062;0.000261134;0.000187814;0.000284232
14;0.000105035;0.000185582;0.000233171;9.45E-05;0.000184614;7.80E-05;0.000335788;0.000247709;7.93E-05;7.34E-05;0.000453415;0.000230751;0.000134348;0.000447252;0.000362122;0.000154863;0.000256638;0.000188126;0.000154741;0.00019198;0.000204017;0.000148391;0.000317318;0.000170982;0.000168373;0.000157931;0.000227627;0.000193762;0.000256011;0.000240456;0.000196533;8.55E-05;0.000288782;0.000211143;0.00011546;0.00010462;0.000208259;0.00011908;0.000199104;0.000165728;0.000197129;0.00015638;9.82E-05;0.000326297;0.000126769;0.000272036;0.000108596;0.000224306;0.000153704;0.000353661;0.000200768;9.53E-05;0.000187917;0.000261211;0.000172808;0.000291872;0.000182421;0.000134826;0.000222836;0.000146997;6.34E-05;0.000295403;0.000227932;0.000263727;0.000149589;0.000210252;0.000313435;0.000228927;0.000278223;0.000417985;0.000152168;0.000344547;0.000125047;0.000406264;0.000209659;0.000356527;0.000193325;0.000197926;0.000218972;0.000228137;0.00022616;0.000114149;0.000308416;0.000200573;0.000176884;0.000104321;0.00020016;0.000151946;0.000215479;0.000291462;0.000164853;0.000186735;0.000138592;0.000151632;0.000181251;8.63E-05;0.00018953;0.000175924;0.000159786;0.000217079;0.000115596;0.00027878;0.000403317;0.000238389;0.000219606;0.000217218;0.000191284;4.17E-05;0.000172924;0.000205628;0.000320827;0.000147763;9.14E-05;0.000215765;0.000273445;0.000209693;0.000255661;0.000165637
15;0.000171409;0.000165532;0.00019831;0.000122109;0.000200383;0.00014972;0.000105167;0.000282068;0.000189005;0.00019042;7.62E-05;0.000155425;0.000192821;0.000260682;0.000183009;0.000149002;0.000226555;0.000188126;0.000146898;0.000174262;0.000224681;0.000249586;0.000148414;0.000187079;9.28E-05;0.000147028;0.000255718;0.000205082;0.000224441;0.000351648;0.000129716;0.000450186;0.00019693;0.000235004;0.000173449;0.000191005;0.000387931;0.000208129;0.000242181;0.000249532;0.000346472;0.000139262;0.000196888;8.89E-05;0.000345518;0.000174042;0.000247337;0.000134764;0.000153532;0.000316691;0.000124745;0.000165957;0.00033706;0.000144741;0.000172458;8.71E-05;0.000186577;0.000165743;0.000177089;0.000187981;0.000249745;0.000131449;0.000310382;0.000174077;0.000200122;0.000284321;0.000311306;0.000201157;0.000124442;0.000177979;0.000147785;0.000164353;7.54E-05;0.000155718;0.00025029;0.000332414;0.000129275;0.000247867;0.000418874;0.000131183;0.000275155;0.00039348;0.000140535;0.000155166;0.000141066;0.000146184;0.000180589;0.000151946;0.000173535;0.000279581;0.000388905;0.000228935;0.000165282;0.000329555;0.000185662;0.000209719;0.000308724;0.000175924;9.87E-05;0.000300628;0.000290738;0.000224713;0.000187367;0.000292895;0.000320135;0.000178044;0.000175472;0.000245371;0.000312826;0.000383953;0.00018136;0.000165258;7.51E-05;0.000263645;0.000214062;0.000261134;0.000187814;0.000284232
16;0.000105035;0.000185582;0.000233171;9.45E-05;0.000184614;7.80E-05;0.000335788;0.000247709;7.93E-05;7.34E-05;0.000453415;0.000230751;0.000134348;0.000447252;0.000362122;0.000154863;0.000256638;0.000188126;0.000154741;0.00019198;0.000204017;0.000148391;0.000317318;0.000170982;0.000139348;0.000157931;0.000227627;0.000193762;0.000256011;0.000371377;0.000196533;8.55E-05;0.000288782;0.000211143;0.00011546;0.00010462;0.000208259;0.00011908;0.000199104;0.000165728;0.000197129;0.00015638;9.82E-05;0.000326297;0.000126769;0.000272036;0.000108596;0.000224306;0.000153704;0.000353661;0.000200768;9.53E-05;0.000187917;0.000261211;0.000172808;0.000291872;0.000182421;0.000134826;0.000222836;0.000146997;6.34E-05;0.000295403;0.000227932;0.000263727;0.000149589;0.000210252;0.000313435;0.000228927;0.000278223;0.000417985;0.000152168;0.000344547;0.000125047;0.000406264;0.000209659;0.000356527;0.000193325;0.000197926;0.000218972;0.000228137;0.00022616;0.000114149;0.000308416;0.000200573;0.000176884;0.000104321;0.00020016;0.000151946;0.000215479;0.000291462;0.000164853;0.000186735;0.000138592;0.000151632;0.000181251;8.63E-05;0.00018953;0.000175924;0.000159786;0.000217079;0.000115596;0.00027878;0.000403317;0.000238389;0.000219606;0.000217218;0.000191284;4.17E-05;0.000172924;0.000205628;0.000320827;0.000147763;9.14E-05;0.000215765;0.000273445;0.000209693;0.000255661;0.000165637
17;0.000171409;0.000165532;0.00019831;0.000122109;0.000200383;0.00014972;0.000105167;0.000282068;0.000189005;0.00019042;7.62E-05;0.000155425;0.000192821;0.000260682;0.000183009;0.000149002;0.000341336;0.000188126;0.000146898;0.000174262;0.000224681;0.000249586;0.000148414;0.000187079;9.28E-05;0.000147028;0.000255718;0.000205082;0.000224441;0.000351648;0.000129716;0.000450186;0.00019693;0.000235004;0.000173449;0.000191005;0.000387931;0.000208129;0.000242181;0.000249532;0.000346472;0.000139262;0.000196888;8.89E-05;0.000345518;0.000174042;0.000247337;0.000134764;0.000153532;0.000316691;0.000124745;0.000165957;0.00033706;0.000144741;0.000172458;8.71E-05;0.000186577;0.000165743;0.000177089;0.000187981;0.000249745;0.000131449;0.000310382;0.000174077;0.000200122;0.000284321;0.000311306;0.000201157;0.000124442;0.000177979;0.000147785;0.000164353;7.54E-05;0.000155718;0.00025029;0.000332414;0.000129275;0.000247867;0.000418874;0.000131183;0.000275155;0.00039348;0.000140535;0.000155166;0.000141066;0.000146184;0.000180589;0.000151946;0.000173535;0.000279581;0.000388905;0.000228935;0.000165282;0.000329555;0.000185662;0.000209719;0.000308724;0.000175924;9.87E-05;0.000300628;0.000290738;0.000224713;0.000261979;0.000292895;0.000320135;0.000178044;0.000175472;0.000245371;0.000312826;0.000383953;0.00018136;0.000165258;7.51E-05;0.000263645;0.000214062;0.000261134;0.000187814;0.000284232
18;0.000105035;0.000185582;0.000233171;9.45E-05;0.000184614;7.80E-05;0.000335788;0.000247709;7.93E-05;7.34E-05;0.000453415;0.000230751;0.000134348;0.000447252;0.000362122;0.000154863;0.000256638;0.000188126;0.000154741;0.00019198;0.000204017;0.000148391;0.000317318;0.000170982;0.000139348;0.000157931;0.000227627;0.000193762;0.000256011;0.0004129;0.000196533;8.55E-05;0.000288782;0.000211143;0.00011546;0.00010462;0.000208259;0.00011908;0.000199104;0.000165728;0.000197129;0.00015638;9.82E-05;0.000326297;0.000126769;0.000272036;0.000108596;0.000224306;0.000153704;0.000353661;0.000200768;9.53E-05;0.000187917;0.000261211;0.000172808;0.000291872;0.000182421;0.000134826;0.000222836;0.000146997;6.34E-05;0.000295403;0.000227932;0.000263727;0.000149589;0.000210252;0.000313435;0.000228927;0.000278223;0.000417985;0.000152168;0.00014356;0.000125047;0.000406264;0.000209659;0.000356527;0.000193325;0.000197926;0.000218972;0.000228137;0.00022616;0.000114149;0.000308416;0.000200573;0.000176884;0.000104321;0.00020016;0.000151946;0.000215479;0.000291462;0.000164853;0.000186735;0.000138592;0.000151632;0.000181251;8.63E-05;0.00018953;0.000175924;0.000159786;0.000217079;0.000115596;0.00027878;0.000403317;0.000238389;0.000219606;0.000217218;0.000191284;4.17E-05;0.000172924;0.000205628;0.000320827;0.000147763;9.14E-05;0.000215765;0.000273445;0.000209693;0.000255661;0.000165637
19;0.000171409;0.000165532;0.000208827;0.000122109;0.000200383;0.00014972;0.000105167;0.000282068;0.000189005;0.00019042;7.62E-05;0.000155425;0.000192821;0.000260682;0.000183009;0.000149002;0.000341336;0.000188126;0.000146898;0.000214017;0.000224681;0.000249586;0.000148414;0.000187079;9.28E-05;0.000147028;0.000255718;0.000205082;0.000224441;0.000351648;0.000129716;0.000450186;0.00019693;0.000235004;0.000173449;0.000191005;0.000387931;0.000208129;0.000242181;0.000249532;0.000346472;0.000139262;0.000196888;8.89E-05;0.000345518;0.000174042;0.000247337;0.000134764;0.000153532;0.000316691;0.000124745;0.000165957;0.00033706;0.000144741;0.000172458;8.71E-05;0.000186577;0.000165743;0.000177089;0.000187981;0.000249745;0.000131449;0.000310382;0.000174077;0.000200122;0.000284321;0.000311306;0.000201157;0.000124442;0.000177979;0.000147785;0.000164353;7.54E-05;0.000155718;0.00025029;0.000332414;0.000129275;0.000247867;0.000418874;0.000131183;0.000275155;0.00039348;0.000140535;0.000155166;0.000141066;0.000146184;0.000180589;0.000151946;0.000173535;0.000279581;0.000388905;0.000228935;0.000165282;0.000329555;0.000185662;0.000209719;0.000308724;0.000175924;9.87E-05;0.000300628;0.000290738;0.000224713;0.000261979;0.000414746;0.000320135;0.000178044;0.000175472;0.000245371;0.000312826;0.000383953;0.00018136;0.000165258;7.51E-05;0.000263645;0.000214062;0.000261134;0.000187814;0.000284232
20;0.000105035;0.000185582;0.000233171;9.45E-05;0.000184614;7.80E-05;0.000335788;0.000247709;7.93E-05;7.34E-05;0.000453415;0.000230751;0.000134348;0.000447252;0.000362122;0.000154863;0.000256638;0.000188126;0.000154741;0.00019198;0.000204017;0.000148391;0.000317318;0.000170982;0.000139348;0.000390751;0.000227627;0.000193762;0.000256011;0.0004129;0.000196533;8.55E-05;0.000288782;0.000211143;0.00011546;0.00010462;0.000208259;0.00011908;0.000199104;0.000165728;0.000197129;0.00015638;9.82E-05;0.000326297;0.000126769;0.000272036;0.000108596;0.000224306;0.000153704;0.000353661;0.000200768;9.53E-05;0.000187917;0.000261211;0.000172808;0.000291872;0.000182421;0.000134826;0.000222836;0.000146997;6.34E-05;0.000295403;0.000227932;0.000263727;0.000149589;0.000210252;0.000313435;0.000228927;0.000278223;0.000417985;0.000152168;0.00014356;0.000125047;4.31E-05;0.000209659;0.000356527;0.000193325;0.000197926;0.000218972;0.000228137;0.00022616;0.000114149;0.000308416;0.000200573;0.000176884;0.000104321;0.00020016;0.000151946;0.000215479;0.000291462;0.000164853;0.000186735;0.000138592;0.000151632;0.000181251;8.63E-05;0.00018953;0.000175924;0.000159786;0.000217079;0.000115596;0.00027878;0.000403317;0.000238389;0.000219606;0.000217218;0.000191284;4.17E-05;0.000172924;0.000205628;0.000320827;0.000147763;9.14E-05;0.000215765;0.000273445;0.000209693;0.000255661;0.000165637
21;0.000171409;0.000165532;0.000208827;0.000122109;0.000200383;0.00014972;0.000105167;0.000282068;0.000189005;0.00019042;7.62E-05;0.000155425;0.000192821;0.000260682;0.000183009;0.000149002;0.000341336;0.000188126;0.000146898;0.000214017;0.000224681;0.000249586;0.000148414;0.000187079;9.28E-05;0.000147028;0.000255718;0.000205082;0.000224441;0.000351648;0.000129716;0.000450186;0.00019693;0.000235004;0.000173449;0.000191005;0.000387931;0.000208129;0.000242181;0.000249532;0.000346472;0.000139262;0.000196888;8.89E-05;0.000345518;0.000174042;0.000247337;0.000134764;0.000153532;0.000316691;0.000124745;0.000165957;0.00033706;0.000144741;0.000172458;8.71E-05;0.000186577;0.000165743;0.000177089;0.000187981;0.000249745;0.000131449;0.000310382;0.000174077;0.000200122;0.000284321;0.000311306;0.000201157;0.000124442;0.000177979;0.000147785;0.000164353;7.54E-05;0.000155718;0.00025029;0.000332414;0.000129275;0.000247867;0.000418874;0.000131183;0.000275155;0.00039348;0.000140535;0.000155166;0.000141066;0.000146184;0.000180589;0.000151946;0.000173535;0.000279581;0.000388905;0.000228935;0.000165282;0.000329555;0.000185662;0.000209719;0.000308724;0.000175924;9.87E-05;0.000300628;0.000290738;0.000224713;0.000261979;0.000414746;0.000320135;0.000178044;0.000175472;0.000245371;0.000312826;0.000383953;0.00018136;0.000165258;7.51E-05;0.000223447;0.000214062;0.000261134;0.000187814;0.000284232
22;0.000105035;0.000185582;0.000233171;9.45E-05;0.000184614;7.80E-05;0.000335788;0.000247709;7.93E-05;7.34E-05;0.000453415;0.000230751;0.000134348;0.000447252;0.000362122;0.000154863;0.000256638;0.000188126;0.000154741;0.00019198;0.000204017;0.000148391;0.000317318;0.000170982;0.000139348;0.000390751;0.000227627;0.000193762;0.000256011;0.0004129;0.000196533;8.55E-05;0.000288782;0.000211143;0.00011546;0.00010462;0.000208259;0.00011908;0.000199104;0.000165728;0.000197129;0.00015638;9.82E-05;0.000326297;0.000126769;0.000272036;0.000108596;0.000224306;0.000153704;0.000353661;0.000200768;9.53E-05;0.000187917;0.000261211;0.000172808;0.000291872;0.000182421;0.000134826;0.000222836;0.000146997;6.34E-05;0.000295403;0.000227932;0.000263727;0.000149589;0.000210252;0.000313435;0.000228927;0.000278223;0.000417985;0.000152168;0.00014356;0.000125047;4.31E-05;0.000209659;0.000356527;0.000193325;0.000197926;0.000218972;0.000228137;0.00022616;0.000114149;0.000308416;0.000200573;0.000176884;0.000104321;0.00020016;0.000151946;0.000215479;0.000291462;0.000164853;0.000186735;0.000138592;0.000151632;0.000181251;8.63E-05;0.00018953;0.000175924;0.000159786;0.000217079;0.000115596;0.00027878;0.000403317;0.000238389;0.000219606;0.000217218;0.000191284;4.17E-05;0.000172924;0.000205628;0.000320827;0.000147763;9.14E-05;0.000215765;0.000273445;0.000209693;0.000255661;0.000165637
23;0.000171409;0.000165532;0.000208827;0.000122109;0.000200383;0.00014972;0.000105167;0.000282068;0.000189005;0.00019042;7.62E-05;0.000155425;0.000192821;0.000260682;0.000183009;0.000149002;0.000341336;0.000188126;0.000146898;0.000214017;0.000224681;0.000249586;0.000148414;0.000187079;9.28E-05;0.000147028;0.000255718;0.000205082;0.000224441;0.000351648;0.000230335;0.000450186;0.00019693;0.000235004;0.000173449;0.000191005;0.000387931;0.000208129;0.000242181;0.000249532;0.000346472;0.000139262;0.000196888;8.89E-05;0.000345518;0.000174042;0.000247337;0.000134764;0.000153532;0.000316691;0.000124745;0.000165957;0.00033706;0.000144741;0.000172458;8.71E-05;0.000186577;0.000165743;0.000177089;0.000187981;0.000249745;0.000131449;0.000310382;0.000174077;0.000200122;0.000173874;0.000311306;0.000201157;0.000124442;0.000177979;0.000147785;0.000164353;7.54E-05;0.000155718;0.00025029;0.000332414;0.000129275;0.000247867;0.000418874;0.000131183;0.000275155;0.00039348;0.000140535;0.000155166;0.000141066;0.000146184;0.000180589;0.000151946;0.000173535;0.000279581;0.000388905;0.000121061;0.000165282;0.000329555;0.000185662;0.000209719;0.000308724;0.000175924;9.87E-05;0.000300628;0.000290738;0.000224713;0.000261979;0.000414746;0.000320135;0.000178044;0.000175472;0.000245371;0.000312826;0.000383953;0.00018136;0.000165258;7.51E-05;0.000223447;0.000214062;0.000261134;0.000187814;0.000284232
24;0.000105035;0.000185582;0.000233171;9.45E-05;0.000184614;7.80E-05;0.000335788;0.000247709;7.93E-05;7.34E-05;0.000453415;0.000230751;0.000134348;0.000447252;0.000362122;0.000154863;0.000256638;0.000188126;0.000154741;0.00019198;0.000148373;0.000148391;0.000317318;0.000170982;0.00010952;0.000390751;0.000227627;0.000193762;0.000256011;0.0004129;0.000196533;8.55E-05;0.000288782;0.000211143;0.00011546;0.00010462;0.000208259;0.00011908;0.000199104;0.000165728;0.000197129;0.00015638;9.82E-05;0.000326297;0.000126769;0.000272036;0.000108596;0.000224306;0.000153704;0.000353661;0.000200768;9.53E-05;0.000187917;0.000261211;0.000172808;0.000291872;0.000182421;0.000134826;0.000222836;0.000146997;6.34E-05;0.000295403;0.000227932;0.000263727;0.000149589;0.000210252;0.000313435;0.000228927;0.000278223;0.000417985;0.000152168;0.00014356;0.000125047;4.31E-05;0.000209659;0.000356527;0.000193325;0.000197926;0.000218972;0.000228137;0.00022616;0.000114149;0.000308416;0.000200573;0.000176884;0.000104321;0.00020016;0.000151946;0.000215479;0.000291462;0.000164853;0.000186735;0.000138592;0.000151632;0.000181251;8.63E-05;0.00018953;0.000175924;0.000159786;0.000217079;0.000115596;0.00027878;0.000403317;0.000238389;0.000219606;0.000217218;0.000191284;4.17E-05;0.000172924;0.000205628;0.000320827;0.000147763;9.14E-05;0.000215765;0.000273445;0.000209693;0.000255661;0.000165637
25;0.000171409;0.000165532;0.000208827;0.000122109;0.000200383;0.00014972;0.000105167;0.000282068;0.000189005;0.00019042;7.62E-05;0.000155425;0.000192821;0.000260682;0.000183009;0.000149002;0.000341336;0.000188126;0.000146898;0.000214017;0.000224681;0.000249586;0.000148414;0.000187079;9.28E-05;0.000147028;0.000255718;0.000205082;0.000224441;0.000351648;0.000230335;0.000450186;0.00019693;0.000235004;0.000173449;0.000191005;0.000387931;0.000208129;0.000242181;0.000249532;0.000346472;0.000139262;0.000196888;8.89E-05;0.000345518;0.000174042;0.000247337;0.000134764;0.000153532;0.000316691;0.000124745;0.000165957;0.00033706;0.000144741;0.000172458;8.71E-05;0.000186577;0.000165743;0.000177089;0.000187981;0.000249745;0.000131449;0.000310382;0.000174077;0.000200122;0.000173874;0.000311306;0.000201157;0.000124442;0.000177979;0.000147785;0.000164353;7.54E-05;0.000155718;0.00025029;0.000141956;0.000129275;0.000247867;0.000418874;0.000131183;0.000275155;0.00039348;0.000140535;0.000155166;0.000178322;0.000146184;0.000180589;0.000151946;0.000173535;0.000279581;0.000388905;0.000121061;0.000165282;0.000329555;0.000185662;0.000209719;0.000308724;0.000175924;0.000155905;0.000300628;0.000290738;0.000224713;0.000261979;0.000414746;0.000320135;0.000178044;0.000175472;0.000245371;0.000312826;0.000383953;0.00018136;0.000165258;7.51E-05;0.000223447;0.000214062;0.000261134;0.000187814;0.000284232
26;0.000105035;0.000185582;0.000208992;9.45E-05;0.000184614;7.80E-05;0.000335788;0.000247709;7.93E-05;7.34E-05;0.000453415;0.000230751;0.000134348;0.000447252;0.000197252;0.000154863;0.000256638;0.000165371;0.000154741;0.00019198;0.000148373;0.000148391;0.000317318;0.000170982;0.00010952;0.000390751;0.000227627;0.000193762;0.000256011;0.0004129;0.000196533;8.55E-05;0.000288782;0.000211143;0.00011546;0.00010462;0.000120127;0.00011908;0.000199104;0.000165728;0.000197129;0.00015638;9.82E-05;0.000326297;0.000126769;0.000272036;0.000108596;0.000224306;0.000153704;0.000353661;0.000200768;9.53E-05;0.000187917;0.000261211;0.000172808;0.000291872;0.000182421;0.000134826;0.000222836;0.000146997;6.34E-05;0.000295403;0.000227932;0.000263727;0.00022132;0.000210252;0.000313435;0.000228927;0.000278223;0.000417985;0.000152168;0.00014356;0.000125047;4.31E-05;0.000209659;0.000356527;0.000193325;0.000197926;0.000218972;0.000228137;0.00022616;0.000114149;0.000308416;0.000200573;0.000176884;0.000104321;0.00020016;0.000151946;0.000215479;0.000291462;0.000164853;0.000186735;0.000138592;0.000151632;0.000181251;8.63E-05;0.00018953;0.000175924;0.000159786;0.000217079;0.000115596;0.00027878;0.000403317;0.000238389;0.000219606;0.000217218;0.000191284;4.17E-05;0.000172924;0.000205628;0.000320827;0.000147763;9.14E-05;0.000215765;0.000273445;0.000209693;0.000255661;0.000165637
27;0.000171409;0.000165532;0.000208827;0.000122109;0.000200383;0.00014972;0.000105167;0.000282068;0.000189005;0.00019042;7.62E-05;0.000155425;0.000192821;0.000260682;0.000183009;0.000149002;0.000341336;0.000188126;0.000146898;0.000214017;0.000224681;0.000249586;0.000148414;0.000187079;9.28E-05;0.000147028;0.000255718;0.000205082;0.000224441;0.000351648;0.000230335;0.000450186;0.00019693;0.000235004;0.000173449;0.000191005;0.000387931;0.000208129;0.000242181;0.000249532;0.000346472;0.000139262;0.000196888;8.89E-05;0.000345518;0.000174042;0.000247337;0.000134764;0.000153532;0.000316691;0.000124745;0.000165957;0.00033706;0.000144741;0.000172458;8.71E-05;0.000186577;0.000165743;0.000177089;0.000187981;0.000249745;0.000131449;0.000310382;0.000174077;0.000200122;0.000173874;0.000311306;0.000201157;0.000124442;0.000177979;0.000147785;0.000164353;7.54E-05;0.000155718;0.00025029;0.000141956;0.000129275;0.000247867;0.000418874;0.000131183;0.000275155;0.00039348;0.000140535;0.000155166;0.000178322;0.000146184;0.000180589;0.000151946;0.000173535;0.000279581;0.000388905;0.000121061;0.000165282;0.000329555;0.000185662;0.000209719;0.000308724;0.000175924;0.000155905;0.000300628;0.000290738;0.000224713;0.000261979;0.000414746;0.000320135;0.000178044;0.000175472;0.000245371;0.000312826;0.000383953;0.00018136;0.000165258;7.51E-05;0.000223447;0.000214062;0.000261134;0.000187814;0.000284232
28;0.000105035;0.000185582;0.000208992;9.45E-05;0.000184614;0.000333046;0.000335788;0.000247709;7.93E-05;7.34E-05;0.000453415;0.000230751;0.000134348;0.000447252;0.000197252;0.000154863;0.000256638;0.000165371;0.000154741;0.00019198;0.000148373;0.000148391;0.000317318;0.000170982;0.00010952;0.000336477;0.000227627;0.000193762;0.000256011;0.0004129;0.000196533;8.55E-05;0.000288782;0.000211143;0.00011546;0.00010462;0.000120127;0.00011908;0.000199104;0.000165728;0.000197129;0.00015638;9.82E-05;0.000326297;0.000126769;0.000272036;0.000108596;0.000224306;0.000153704;0.000353661;0.000200768;9.53E-05;0.000187917;0.000261211;0.000172808;0.000291872;0.000182421;0.000134826;0.000222836;0.000228197;6.34E-05;0.000295403;0.000227932;0.000263727;0.00022132;0.000210252;0.000313435;0.000228927;0.000278223;0.000417985;0.000152168;0.00014356;0.000125047;4.31E-05;0.000209659;0.000356527;0.000193325;0.000197926;0.000218972;0.000228137;0.00022616;0.000114149;0.000308416;0.000200573;0.000176884;0.000104321;0.00020016;0.000151946;0.000215479;0.000291462;0.000164853;0.000186735;0.000247634;0.000151632;0.000181251;8.63E-05;0.00018953;0.000175924;0.000159786;0.000217079;0.000115596;0.000304512;0.000403317;0.000238389;0.000219606;0.000217218;0.000191284;4.17E-05;0.000172924;0.000205628;0.000320827;0.000147763;9.14E-05;0.000215765;0.000273445;0.000209693;0.000255661;0.000165637
