0;Chain_1;Chain_5;Chain_6;Chain_7;Chain_15;Chain_16;Chain_24;Chain_26;Chain_33;Chain_35;Chain_36;Chain_43;Chain_44;Chain_48;Chain_54;Chain_63;Chain_67;Chain_73;Chain_81;Chain_82;Chain_88;Chain_90;Chain_92;Chain_93;Chain_94;Chain_95;Chain_104;Chain_106;Chain_107;Chain_111;Chain_112;Chain_116;Chain_117;Chain_118;Chain_119;Chain_120;Chain_124;Chain_125;Chain_127;Chain_130;Chain_131;Chain_132;Chain_133;Chain_134;Chain_136;Chain_141;Chain_147;Chain_151;Chain_162;Chain_163;Chain_164;Chain_166;Chain_169;Chain_170;Chain_172;Chain_175;Chain_179;Chain_180;Chain_182;Chain_186;Chain_189;Chain_203;Chain_205;Chain_206;Chain_211;Chain_212;Chain_215;Chain_218;Chain_219;Chain_221;Chain_225;Chain_226;Chain_229;Chain_237;Chain_242;Chain_245;Chain_247;Chain_253;Chain_254;Chain_256;Chain_258;Chain_264;Chain_265;Chain_266;Chain_269;Chain_271;Chain_279;Chain_282;Chain_283;Chain_288;Chain_289;Chain_293;Chain_294;Chain_296;Chain_299;Chain_302;Chain_303;Chain_305;Chain_307;Chain_308;Chain_317;Chain_319;Chain_328;Chain_330;Chain_332;Chain_336;Chain_342;Chain_344;Chain_345;Chain_350;Chain_352;Chain_354;Chain_359;Chain_362;Chain_364;Chain_369;Chain_379;Chain_383
11;4.130670541;5.325412647;2.057683122;3.047153367;4.04942497;2.76945072;3.070099155;2.216856962;3.914935382;5.535235763;3.786574939;5.146757921;5.919693991;2.65858837;4.224032357;2.68336862;6.039568378;4.234488588;3.418342679;2.865723803;3.064007731;4.938841917;4.217991447;3.456639196;3.504348252;2.259090598;1.481071159;0.500315223;3.232962442;3.000033552;3.231657736;3.522158128;4.732519114;6.301139582;3.080797163;3.383013417;4.011433034;4.400146874;1.794036139;3.507394026;4.860801848;5.095370768;4.818929543;4.002777614;4.795131495;3.46406565;2.436737403;3.413254618;3.692094141;3.539384676;0.606731772;3.194584761;3.892854059;5.523013125;5.542761426;4.551220157;3.312709774;3.066797509;4.896150555;5.144892069;3.848895106;3.059126822;3.947457673;6.565302099;2.974981254;2.917492142;1.854001168;6.134512373;3.113708432;4.278680332;2.436294152;4.554849287;4.0055208;2.455380671;3.011917119;3.266551173;4.200039822;3.903536454;3.406325726;1.510523315;2.748897308;1.933585879;5.420720007;3.873132562;3.442510573;2.301548366;2.563306278;4.480954148;4.715710671;4.173908653;2.542563945;3.946468985;3.525966782;4.417850541;0.659478908;4.829549969;5.352323599;2.985846826;4.667948246;3.157516363;6.721923107;2.907450636;4.311053559;3.447291251;3.345541712;4.587521321;5.565795553;4.148361358;1.38347425;3.640655823;4.990622441;3.445960223;2.099183464;4.462385346;4.408956788;4.042817498;4.285095828;2.648522677
12;2.677505782;4.141125241;3.286213978;2.819230997;4.486159725;3.393108678;2.857163882;6.102369587;2.525750397;4.18654659;2.815998038;4.45477703;3.514214938;3.983481763;3.429072638;1.688428411;3.713694606;4.234488588;4.502855425;3.996478786;2.052237901;2.174334854;4.523495039;3.648716856;2.211218064;3.351954197;2.039697171;3.966266196;3.608155079;4.345946433;5.686563867;3.836976807;2.270606643;3.37592384;3.625511567;3.125815053;2.451380053;1.808389875;5.172742261;2.875373416;5.729743729;3.829638708;2.145808842;3.570242152;2.98165602;3.668222007;4.754610618;3.422765945;4.231828993;6.743862128;4.800001025;0.284068566;4.037477033;3.678423224;2.72447249;3.068112478;1.968302781;6.294343364;1.479904213;4.490458948;3.824379051;5.533455812;5.089415101;3.09150874;2.176613379;5.186075462;4.276740594;2.889036451;3.663777047;3.070966873;3.468437022;2.298364746;3.890894409;2.360600048;2.154097275;2.603566143;2.748619245;4.097405202;4.338959657;3.714329384;1.548526762;2.798938685;3.527675778;2.640039348;1.905735472;1.495418403;3.911019758;4.480954148;1.624284391;3.581496148;4.047923254;3.292969119;2.16689948;3.337576864;2.281828512;0.979369194;1.629123577;2.985846826;1.311614684;3.147531119;2.837040098;5.408393109;2.249930636;4.448652588;4.115692644;4.419507894;3.586556688;2.620548888;3.725271951;2.659152118;3.734404731;3.157680722;2.789996399;3.102345124;2.840984917;0.980108662;2.934370339;2.748805844
13;4.130670541;5.325412647;2.057683122;3.047153367;4.04942497;2.76945072;3.070099155;2.216856962;3.914935382;5.535235763;3.786574939;5.146757921;5.919693991;2.65858837;4.224032357;2.68336862;6.039568378;4.234488588;3.418342679;2.865723803;3.064007731;4.938841917;4.217991447;3.456639196;3.504348252;2.259090598;1.481071159;0.500315223;3.232962442;3.000033552;3.231657736;3.522158128;4.732519114;6.301139582;3.080797163;3.383013417;4.011433034;4.400146874;1.794036139;3.507394026;4.860801848;5.095370768;4.818929543;4.002777614;4.795131495;3.46406565;2.436737403;3.413254618;3.692094141;3.539384676;0.606731772;3.194584761;1.581791503;5.523013125;5.542761426;4.551220157;3.312709774;3.066797509;4.896150555;5.144892069;3.848895106;3.059126822;3.947457673;6.565302099;2.974981254;2.917492142;1.854001168;6.134512373;3.113708432;4.278680332;2.436294152;4.554849287;4.0055208;2.455380671;3.011917119;3.266551173;4.200039822;3.903536454;3.406325726;1.510523315;2.748897308;1.933585879;5.420720007;3.873132562;3.442510573;2.301548366;2.563306278;4.480954148;4.715710671;4.173908653;2.542563945;3.946468985;3.525966782;4.417850541;0.659478908;4.829549969;5.352323599;2.985846826;4.667948246;3.157516363;6.721923107;2.907450636;4.311053559;3.447291251;3.345541712;4.587521321;5.565795553;4.148361358;1.38347425;3.640655823;4.990622441;3.445960223;2.099183464;4.462385346;4.408956788;4.042817498;4.285095828;2.648522677
14;2.677505782;4.141125241;3.286213978;2.819230997;4.486159725;3.393108678;2.857163882;6.102369587;2.525750397;4.18654659;2.815998038;4.45477703;3.514214938;3.983481763;3.429072638;1.688428411;4.725429888;4.234488588;4.502855425;3.996478786;2.052237901;2.174334854;4.523495039;3.648716856;2.211218064;3.351954197;2.039697171;3.966266196;3.608155079;4.345946433;5.686563867;3.836976807;2.270606643;3.37592384;3.625511567;3.125815053;2.451380053;1.808389875;5.172742261;2.875373416;5.729743729;3.829638708;2.145808842;3.570242152;2.98165602;3.668222007;4.754610618;3.422765945;4.231828993;6.743862128;4.800001025;0.284068566;4.037477033;3.678423224;2.72447249;3.068112478;1.968302781;6.294343364;1.479904213;4.490458948;3.824379051;5.030304316;5.089415101;3.09150874;2.176613379;5.186075462;4.276740594;2.889036451;3.663777047;3.070966873;3.468437022;2.298364746;3.890894409;2.360600048;2.154097275;2.603566143;2.748619245;4.097405202;4.338959657;3.714329384;1.548526762;2.798938685;3.527675778;2.640039348;1.905735472;1.495418403;3.911019758;4.480954148;1.624284391;3.581496148;4.047923254;3.292969119;2.16689948;3.337576864;2.281828512;0.979369194;1.629123577;2.985846826;1.311614684;2.749131263;2.837040098;5.408393109;2.249930636;4.448652588;4.115692644;4.419507894;3.586556688;2.620548888;3.725271951;2.659152118;3.734404731;3.157680722;2.789996399;4.532244054;2.840984917;0.980108662;2.934370339;2.748805844
15;4.130670541;5.325412647;2.057683122;3.047153367;4.04942497;2.76945072;3.070099155;2.216856962;3.914935382;5.535235763;3.786574939;5.146757921;5.919693991;2.65858837;4.224032357;2.68336862;6.039568378;4.234488588;3.418342679;2.865723803;3.064007731;4.938841917;4.217991447;3.456639196;3.504348252;2.259090598;1.481071159;0.500315223;3.232962442;3.000033552;3.231657736;3.522158128;4.732519114;6.301139582;3.080797163;3.383013417;4.011433034;4.400146874;1.794036139;3.507394026;4.860801848;5.095370768;4.818929543;4.002777614;4.795131495;3.46406565;2.436737403;3.413254618;3.692094141;3.539384676;0.606731772;3.194584761;1.581791503;5.523013125;5.542761426;4.551220157;3.312709774;3.066797509;4.896150555;5.144892069;3.848895106;3.059126822;3.947457673;6.565302099;2.974981254;2.917492142;1.854001168;6.134512373;3.113708432;4.278680332;2.436294152;4.554849287;4.0055208;2.642091509;3.011917119;3.266551173;4.200039822;3.903536454;3.406325726;1.510523315;2.748897308;1.933585879;5.420720007;3.873132562;3.442510573;2.301548366;2.563306278;4.480954148;3.515090941;4.173908653;2.542563945;3.946468985;3.525966782;4.417850541;0.659478908;4.829549969;5.352323599;2.985846826;4.667948246;3.157516363;6.721923107;2.907450636;4.311053559;3.447291251;3.345541712;4.587521321;5.565795553;4.148361358;1.38347425;3.640655823;4.990622441;3.445960223;2.099183464;4.462385346;4.408956788;4.042817498;4.285095828;2.648522677
16;2.677505782;4.141125241;3.286213978;2.819230997;4.486159725;3.393108678;2.857163882;6.102369587;2.525750397;4.18654659;2.815998038;4.45477703;3.514214938;3.983481763;3.429072638;1.688428411;4.725429888;4.234488588;4.502855425;3.996478786;2.052237901;2.174334854;4.523495039;3.648716856;2.146530288;3.351954197;2.039697171;3.966266196;3.608155079;5.588593332;5.686563867;3.836976807;2.270606643;3.37592384;3.625511567;3.125815053;2.451380053;1.808389875;5.172742261;2.875373416;5.729743729;3.829638708;2.145808842;3.570242152;2.98165602;3.668222007;4.754610618;3.422765945;4.231828993;6.743862128;4.800001025;0.284068566;4.037477033;3.678423224;2.72447249;3.068112478;1.968302781;6.294343364;1.479904213;4.490458948;3.824379051;5.030304316;5.089415101;3.09150874;2.176613379;5.186075462;4.276740594;2.889036451;3.663777047;3.070966873;3.468437022;2.298364746;3.890894409;2.360600048;2.154097275;2.603566143;2.748619245;4.097405202;4.338959657;3.714329384;1.548526762;2.798938685;3.527675778;2.640039348;1.905735472;1.495418403;3.911019758;4.480954148;1.624284391;3.581496148;4.047923254;3.292969119;2.16689948;3.337576864;2.281828512;0.979369194;1.629123577;2.985846826;1.311614684;2.749131263;2.837040098;5.408393109;2.249930636;4.448652588;4.115692644;4.419507894;3.586556688;2.620548888;3.725271951;2.659152118;3.734404731;3.157680722;2.789996399;4.532244054;2.840984917;0.980108662;2.934370339;2.748805844
17;4.130670541;5.325412647;2.057683122;3.047153367;4.04942497;2.76945072;3.070099155;2.216856962;3.914935382;5.535235763;3.786574939;5.146757921;5.919693991;2.65858837;4.224032357;2.68336862;4.100657726;4.234488588;3.418342679;2.865723803;3.064007731;4.938841917;4.217991447;3.456639196;3.504348252;2.259090598;1.481071159;0.500315223;3.232962442;3.000033552;3.231657736;3.522158128;4.732519114;6.301139582;3.080797163;3.383013417;4.011433034;4.400146874;1.794036139;3.507394026;4.860801848;5.095370768;4.818929543;4.002777614;4.795131495;3.46406565;2.436737403;3.413254618;3.692094141;3.539384676;0.606731772;3.194584761;1.581791503;5.523013125;5.542761426;4.551220157;3.312709774;3.066797509;4.896150555;5.144892069;3.848895106;3.059126822;3.947457673;6.565302099;2.974981254;2.917492142;1.854001168;6.134512373;3.113708432;4.278680332;2.436294152;4.554849287;4.0055208;2.642091509;3.011917119;3.266551173;4.200039822;3.903536454;3.406325726;1.510523315;2.748897308;1.933585879;5.420720007;3.873132562;3.442510573;2.301548366;2.563306278;4.480954148;3.515090941;4.173908653;2.542563945;3.946468985;3.525966782;4.417850541;0.659478908;4.829549969;5.352323599;2.985846826;4.667948246;3.157516363;6.721923107;2.907450636;4.070917545;3.447291251;3.345541712;4.587521321;5.565795553;4.148361358;1.38347425;3.640655823;4.990622441;3.445960223;2.099183464;4.462385346;4.408956788;4.042817498;4.285095828;2.648522677
18;2.677505782;4.141125241;3.286213978;2.819230997;4.486159725;3.393108678;2.857163882;6.102369587;2.525750397;4.18654659;2.815998038;4.45477703;3.514214938;3.983481763;3.429072638;1.688428411;4.725429888;4.234488588;4.502855425;3.996478786;2.052237901;2.174334854;4.523495039;3.648716856;2.146530288;3.351954197;2.039697171;3.966266196;3.608155079;4.470370229;5.686563867;3.836976807;2.270606643;3.37592384;3.625511567;3.125815053;2.451380053;1.808389875;5.172742261;2.875373416;5.729743729;3.829638708;2.145808842;3.570242152;2.98165602;3.668222007;4.754610618;3.422765945;4.231828993;6.743862128;4.800001025;0.284068566;4.037477033;3.678423224;2.72447249;3.068112478;1.968302781;6.294343364;1.479904213;4.490458948;3.824379051;5.030304316;5.089415101;3.09150874;2.176613379;5.186075462;4.276740594;2.889036451;3.663777047;3.070966873;3.468437022;4.292967207;3.890894409;2.360600048;2.154097275;2.603566143;2.748619245;4.097405202;4.338959657;3.714329384;1.548526762;2.798938685;3.527675778;2.640039348;1.905735472;1.495418403;3.911019758;4.480954148;1.624284391;3.581496148;4.047923254;3.292969119;2.16689948;3.337576864;2.281828512;0.979369194;1.629123577;2.985846826;1.311614684;2.749131263;2.837040098;5.408393109;2.249930636;4.448652588;4.115692644;4.419507894;3.586556688;2.620548888;3.725271951;2.659152118;3.734404731;3.157680722;2.789996399;4.532244054;2.840984917;0.980108662;2.934370339;2.748805844
19;4.130670541;5.325412647;4.220714607;3.047153367;4.04942497;2.76945072;3.070099155;2.216856962;3.914935382;5.535235763;3.786574939;5.146757921;5.919693991;2.65858837;4.224032357;2.68336862;4.100657726;4.234488588;3.418342679;5.088926411;3.064007731;4.938841917;4.217991447;3.456639196;3.504348252;2.259090598;1.481071159;0.500315223;3.232962442;3.000033552;3.231657736;3.522158128;4.732519114;6.301139582;3.080797163;3.383013417;4.011433034;4.400146874;1.794036139;3.507394026;4.860801848;5.095370768;4.818929543;4.002777614;4.795131495;3.46406565;2.436737403;3.413254618;3.692094141;3.539384676;0.606731772;3.194584761;1.581791503;5.523013125;5.542761426;4.551220157;3.312709774;3.066797509;4.896150555;5.144892069;3.848895106;3.059126822;3.947457673;6.565302099;2.974981254;2.917492142;1.854001168;6.134512373;3.113708432;4.278680332;2.436294152;4.554849287;4.0055208;2.642091509;3.011917119;3.266551173;4.200039822;3.903536454;3.406325726;1.510523315;2.748897308;1.933585879;5.420720007;3.873132562;3.442510573;2.301548366;2.563306278;4.480954148;3.515090941;4.173908653;2.542563945;3.946468985;3.525966782;4.417850541;0.659478908;4.829549969;5.352323599;2.985846826;4.667948246;3.157516363;6.721923107;2.907450636;4.070917545;3.330219365;3.345541712;4.587521321;5.565795553;4.148361358;1.38347425;3.640655823;4.990622441;3.445960223;2.099183464;4.462385346;4.408956788;4.042817498;4.285095828;2.648522677
20;2.677505782;4.141125241;3.286213978;2.819230997;4.486159725;3.393108678;2.857163882;6.102369587;2.525750397;4.18654659;2.815998038;4.45477703;3.514214938;3.983481763;3.429072638;1.688428411;4.725429888;4.234488588;4.502855425;3.996478786;2.052237901;2.174334854;4.523495039;3.648716856;2.146530288;4.134829225;2.039697171;3.966266196;3.608155079;4.470370229;5.686563867;3.836976807;2.270606643;3.37592384;3.625511567;3.125815053;2.451380053;1.808389875;5.172742261;2.875373416;5.729743729;3.829638708;2.145808842;3.570242152;2.98165602;3.668222007;4.754610618;3.422765945;4.231828993;6.743862128;4.800001025;0.284068566;4.037477033;3.678423224;2.72447249;3.068112478;1.968302781;6.294343364;1.479904213;4.490458948;3.824379051;5.030304316;5.089415101;3.09150874;2.176613379;5.186075462;4.276740594;2.889036451;3.663777047;3.070966873;3.468437022;4.292967207;3.890894409;3.627204719;2.154097275;2.603566143;2.748619245;4.097405202;4.338959657;3.714329384;1.548526762;2.798938685;3.527675778;2.640039348;1.905735472;1.495418403;3.911019758;4.480954148;1.624284391;3.581496148;4.047923254;3.292969119;2.16689948;3.337576864;2.281828512;0.979369194;1.629123577;2.985846826;1.311614684;2.749131263;2.837040098;5.408393109;2.249930636;4.448652588;4.115692644;4.419507894;3.586556688;2.620548888;3.725271951;2.659152118;3.734404731;3.157680722;2.789996399;4.532244054;2.840984917;0.980108662;2.934370339;2.748805844
21;4.130670541;5.325412647;4.220714607;3.047153367;4.04942497;2.76945072;3.070099155;2.216856962;3.914935382;5.535235763;3.786574939;5.146757921;5.919693991;2.65858837;4.224032357;2.68336862;4.100657726;4.234488588;3.418342679;5.088926411;3.064007731;4.938841917;4.217991447;3.456639196;3.504348252;2.259090598;1.481071159;0.500315223;3.232962442;3.000033552;3.231657736;3.522158128;4.732519114;6.301139582;3.080797163;3.383013417;4.011433034;4.400146874;1.794036139;3.507394026;4.860801848;5.095370768;4.818929543;4.002777614;4.795131495;3.46406565;2.436737403;3.413254618;3.692094141;3.539384676;0.606731772;3.194584761;1.581791503;5.523013125;5.542761426;4.551220157;3.312709774;3.066797509;4.896150555;5.144892069;3.848895106;3.059126822;3.947457673;6.565302099;2.974981254;2.917492142;1.854001168;6.134512373;3.113708432;4.278680332;2.436294152;4.554849287;4.0055208;2.642091509;3.011917119;3.266551173;4.200039822;3.903536454;3.406325726;1.510523315;2.748897308;1.933585879;5.420720007;3.873132562;3.442510573;2.301548366;2.563306278;4.480954148;3.515090941;4.173908653;2.542563945;3.946468985;3.525966782;4.417850541;0.659478908;4.829549969;5.352323599;2.985846826;4.667948246;3.157516363;6.721923107;2.907450636;4.070917545;3.330219365;3.345541712;4.587521321;5.565795553;4.148361358;1.38347425;3.640655823;4.990622441;3.445960223;2.099183464;3.432296842;4.408956788;4.042817498;4.285095828;2.648522677
22;2.677505782;4.141125241;3.286213978;2.819230997;4.486159725;3.393108678;2.857163882;6.102369587;2.525750397;4.18654659;2.815998038;4.45477703;3.514214938;3.983481763;3.429072638;1.688428411;4.725429888;4.234488588;4.502855425;3.996478786;2.052237901;2.174334854;4.523495039;3.648716856;2.146530288;4.134829225;2.039697171;3.966266196;3.608155079;4.470370229;5.686563867;3.836976807;2.270606643;3.37592384;3.625511567;3.125815053;2.451380053;1.808389875;5.172742261;2.875373416;5.729743729;3.829638708;2.145808842;3.570242152;2.98165602;3.668222007;4.754610618;3.422765945;4.231828993;6.743862128;4.800001025;0.284068566;4.037477033;3.678423224;2.72447249;3.068112478;1.968302781;6.294343364;1.479904213;4.490458948;3.824379051;5.030304316;5.089415101;3.09150874;2.176613379;5.186075462;4.276740594;2.889036451;3.663777047;3.070966873;3.468437022;4.292967207;3.890894409;3.627204719;2.154097275;2.603566143;2.748619245;4.097405202;4.338959657;3.714329384;1.548526762;2.798938685;3.527675778;2.640039348;1.905735472;1.495418403;3.911019758;4.480954148;1.624284391;3.581496148;4.047923254;3.292969119;2.16689948;3.337576864;2.281828512;0.979369194;1.629123577;2.985846826;1.311614684;2.749131263;2.837040098;5.408393109;2.249930636;4.448652588;4.115692644;4.419507894;3.586556688;2.620548888;3.725271951;2.659152118;3.734404731;3.157680722;2.789996399;4.532244054;2.840984917;0.980108662;2.934370339;2.748805844
23;4.130670541;5.325412647;4.220714607;3.047153367;4.04942497;2.76945072;3.070099155;2.216856962;3.914935382;5.535235763;3.786574939;5.146757921;5.919693991;2.65858837;4.224032357;2.68336862;4.100657726;4.234488588;3.418342679;5.088926411;3.064007731;4.938841917;4.217991447;3.456639196;3.504348252;2.259090598;1.481071159;0.500315223;3.232962442;3.000033552;3.118577907;3.522158128;4.732519114;6.301139582;3.080797163;3.383013417;4.011433034;4.400146874;1.794036139;3.507394026;4.860801848;5.095370768;4.818929543;4.002777614;4.795131495;3.46406565;2.436737403;3.413254618;3.692094141;3.539384676;0.606731772;3.194584761;1.581791503;5.523013125;5.542761426;4.551220157;3.312709774;3.066797509;4.896150555;5.144892069;3.848895106;3.059126822;3.947457673;6.565302099;2.974981254;4.000948528;1.854001168;6.134512373;3.113708432;4.278680332;2.436294152;4.554849287;4.0055208;2.642091509;3.011917119;3.266551173;4.200039822;3.903536454;3.406325726;1.510523315;2.748897308;1.933585879;5.420720007;3.873132562;3.442510573;2.301548366;2.563306278;4.480954148;3.515090941;4.173908653;2.542563945;2.387754663;3.525966782;4.417850541;0.659478908;4.829549969;5.352323599;2.985846826;4.667948246;3.157516363;6.721923107;2.907450636;4.070917545;3.330219365;3.345541712;4.587521321;5.565795553;4.148361358;1.38347425;3.640655823;4.990622441;3.445960223;2.099183464;3.432296842;4.408956788;4.042817498;4.285095828;2.648522677
24;2.677505782;4.141125241;3.286213978;2.819230997;4.486159725;3.393108678;2.857163882;6.102369587;2.525750397;4.18654659;2.815998038;4.45477703;3.514214938;3.983481763;3.429072638;1.688428411;4.725429888;4.234488588;4.502855425;3.996478786;3.582145448;2.174334854;4.523495039;3.648716856;1.367849783;4.134829225;2.039697171;3.966266196;3.608155079;4.470370229;5.686563867;3.836976807;2.270606643;3.37592384;3.625511567;3.125815053;2.451380053;1.808389875;5.172742261;2.875373416;5.729743729;3.829638708;2.145808842;3.570242152;2.98165602;3.668222007;4.754610618;3.422765945;4.231828993;6.743862128;4.800001025;0.284068566;4.037477033;3.678423224;2.72447249;3.068112478;1.968302781;6.294343364;1.479904213;4.490458948;3.824379051;5.030304316;5.089415101;3.09150874;2.176613379;5.186075462;4.276740594;2.889036451;3.663777047;3.070966873;3.468437022;4.292967207;3.890894409;3.627204719;2.154097275;2.603566143;2.748619245;4.097405202;4.338959657;3.714329384;1.548526762;2.798938685;3.527675778;2.640039348;1.905735472;1.495418403;3.911019758;4.480954148;1.624284391;3.581496148;4.047923254;3.292969119;2.16689948;3.337576864;2.281828512;0.979369194;1.629123577;2.985846826;1.311614684;2.749131263;2.837040098;5.408393109;2.249930636;4.448652588;4.115692644;4.419507894;3.586556688;2.620548888;3.725271951;2.659152118;3.734404731;3.157680722;2.789996399;4.532244054;2.840984917;0.980108662;2.934370339;2.748805844
25;4.130670541;5.325412647;4.220714607;3.047153367;4.04942497;2.76945072;3.070099155;2.216856962;3.914935382;5.535235763;3.786574939;5.146757921;5.919693991;2.65858837;4.224032357;2.68336862;4.100657726;4.234488588;3.418342679;5.088926411;3.064007731;4.938841917;4.217991447;3.456639196;3.504348252;2.259090598;1.481071159;0.500315223;3.232962442;3.000033552;3.118577907;3.522158128;4.732519114;6.301139582;3.080797163;3.383013417;4.011433034;4.400146874;1.794036139;3.507394026;4.860801848;5.095370768;4.818929543;4.002777614;4.795131495;3.46406565;2.436737403;3.413254618;3.692094141;3.539384676;0.606731772;3.194584761;1.581791503;5.523013125;5.542761426;4.551220157;3.312709774;3.066797509;4.896150555;5.144892069;3.848895106;3.059126822;3.947457673;6.565302099;2.974981254;4.000948528;1.854001168;6.134512373;3.113708432;4.278680332;2.436294152;4.554849287;4.0055208;2.642091509;3.011917119;4.262171033;4.200039822;3.903536454;3.406325726;1.510523315;2.748897308;1.933585879;5.420720007;3.873132562;4.478603356;2.301548366;2.563306278;4.480954148;3.515090941;4.173908653;2.542563945;2.387754663;3.525966782;4.417850541;0.659478908;4.829549969;5.352323599;2.985846826;2.885746113;3.157516363;6.721923107;2.907450636;4.070917545;3.330219365;3.345541712;4.587521321;5.565795553;4.148361358;1.38347425;3.640655823;4.990622441;3.445960223;2.099183464;3.432296842;4.408956788;4.042817498;4.285095828;2.648522677
26;2.677505782;4.141125241;2.300963067;2.819230997;4.486159725;3.393108678;2.857163882;6.102369587;2.525750397;4.18654659;2.815998038;4.45477703;3.514214938;3.983481763;4.008952923;1.688428411;4.725429888;2.534212487;4.502855425;3.996478786;3.582145448;2.174334854;4.523495039;3.648716856;1.367849783;4.134829225;2.039697171;3.966266196;3.608155079;4.470370229;5.686563867;3.836976807;2.270606643;3.37592384;3.625511567;3.125815053;3.094523861;1.808389875;5.172742261;2.875373416;5.729743729;3.829638708;2.145808842;3.570242152;2.98165602;3.668222007;4.754610618;3.422765945;4.231828993;6.743862128;4.800001025;0.284068566;4.037477033;3.678423224;2.72447249;3.068112478;1.968302781;6.294343364;1.479904213;4.490458948;3.824379051;5.030304316;5.089415101;3.09150874;2.427356668;5.186075462;4.276740594;2.889036451;3.663777047;3.070966873;3.468437022;4.292967207;3.890894409;3.627204719;2.154097275;2.603566143;2.748619245;4.097405202;4.338959657;3.714329384;1.548526762;2.798938685;3.527675778;2.640039348;1.905735472;1.495418403;3.911019758;4.480954148;1.624284391;3.581496148;4.047923254;3.292969119;2.16689948;3.337576864;2.281828512;0.979369194;1.629123577;2.985846826;1.311614684;2.749131263;2.837040098;5.408393109;2.249930636;4.448652588;4.115692644;4.419507894;3.586556688;2.620548888;3.725271951;2.659152118;3.734404731;3.157680722;2.789996399;4.532244054;2.840984917;0.980108662;2.934370339;2.748805844
27;4.130670541;5.325412647;4.220714607;3.047153367;4.04942497;2.76945072;3.070099155;2.216856962;3.914935382;5.535235763;3.786574939;5.146757921;5.919693991;2.65858837;4.224032357;2.68336862;4.100657726;4.234488588;3.418342679;5.088926411;3.064007731;4.938841917;4.217991447;3.456639196;3.504348252;2.259090598;1.481071159;0.500315223;3.232962442;3.000033552;3.118577907;3.522158128;4.732519114;6.301139582;3.080797163;3.383013417;4.011433034;4.400146874;1.794036139;3.507394026;4.860801848;5.095370768;4.818929543;4.002777614;4.795131495;3.46406565;2.436737403;3.413254618;3.692094141;3.539384676;0.606731772;3.194584761;1.581791503;5.523013125;5.542761426;4.551220157;3.312709774;3.066797509;4.896150555;5.144892069;3.848895106;3.059126822;3.947457673;6.565302099;2.974981254;4.000948528;1.854001168;6.134512373;3.113708432;4.278680332;2.436294152;4.554849287;4.0055208;2.642091509;3.011917119;4.262171033;4.200039822;3.903536454;3.406325726;1.510523315;2.748897308;1.933585879;5.420720007;3.873132562;4.478603356;2.301548366;2.563306278;4.480954148;3.515090941;4.173908653;2.542563945;2.387754663;3.525966782;4.417850541;0.659478908;4.829549969;5.352323599;2.985846826;2.885746113;3.157516363;6.721923107;2.907450636;4.070917545;3.330219365;3.345541712;4.587521321;5.565795553;4.148361358;1.38347425;3.640655823;4.990622441;3.445960223;2.099183464;3.432296842;4.408956788;4.042817498;4.285095828;2.648522677
28;2.677505782;4.141125241;2.300963067;2.819230997;4.486159725;2.174915548;2.857163882;6.102369587;2.525750397;4.18654659;2.815998038;4.45477703;3.514214938;3.983481763;4.008952923;1.688428411;4.725429888;2.534212487;4.502855425;3.996478786;3.582145448;2.174334854;4.523495039;3.648716856;1.367849783;3.824687147;2.039697171;3.966266196;3.608155079;4.470370229;5.686563867;3.836976807;2.270606643;3.37592384;3.625511567;3.125815053;3.094523861;1.808389875;5.172742261;2.875373416;5.729743729;3.829638708;2.145808842;3.570242152;2.98165602;3.668222007;4.754610618;3.422765945;4.231828993;6.743862128;4.800001025;0.284068566;4.037477033;3.678423224;2.72447249;3.068112478;1.968302781;6.294343364;1.479904213;3.224973137;3.824379051;5.030304316;5.089415101;3.09150874;2.427356668;5.186075462;4.276740594;2.889036451;3.663777047;3.070966873;3.468437022;4.292967207;3.890894409;3.627204719;2.154097275;2.603566143;2.748619245;4.097405202;4.338959657;3.714329384;1.548526762;2.798938685;3.527675778;2.640039348;1.905735472;1.495418403;3.911019758;4.480954148;1.624284391;3.581496148;4.047923254;3.292969119;4.683963628;3.337576864;2.281828512;0.979369194;1.629123577;2.985846826;1.311614684;2.749131263;2.837040098;1.764945041;2.249930636;4.448652588;4.115692644;4.419507894;3.586556688;2.620548888;3.725271951;2.659152118;3.734404731;3.157680722;2.789996399;4.532244054;2.840984917;0.980108662;2.934370339;2.748805844
