0;Chain_1;Chain_5;Chain_6;Chain_7;Chain_15;Chain_16;Chain_24;Chain_26;Chain_33;Chain_35;Chain_36;Chain_43;Chain_44;Chain_48;Chain_54;Chain_63;Chain_67;Chain_73;Chain_81;Chain_82;Chain_88;Chain_90;Chain_92;Chain_93;Chain_94;Chain_95;Chain_104;Chain_106;Chain_107;Chain_111;Chain_112;Chain_116;Chain_117;Chain_118;Chain_119;Chain_120;Chain_124;Chain_125;Chain_127;Chain_130;Chain_131;Chain_132;Chain_133;Chain_134;Chain_136;Chain_141;Chain_147;Chain_151;Chain_162;Chain_163;Chain_164;Chain_166;Chain_169;Chain_170;Chain_172;Chain_175;Chain_179;Chain_180;Chain_182;Chain_186;Chain_189;Chain_203;Chain_205;Chain_206;Chain_211;Chain_212;Chain_215;Chain_218;Chain_219;Chain_221;Chain_225;Chain_226;Chain_229;Chain_237;Chain_242;Chain_245;Chain_247;Chain_253;Chain_254;Chain_256;Chain_258;Chain_264;Chain_265;Chain_266;Chain_269;Chain_271;Chain_279;Chain_282;Chain_283;Chain_288;Chain_289;Chain_293;Chain_294;Chain_296;Chain_299;Chain_302;Chain_303;Chain_305;Chain_307;Chain_308;Chain_317;Chain_319;Chain_328;Chain_330;Chain_332;Chain_336;Chain_342;Chain_344;Chain_345;Chain_350;Chain_352;Chain_354;Chain_359;Chain_362;Chain_364;Chain_369;Chain_379;Chain_383
11;-0.627996491;-0.966393998;-1.414593976;-0.23936532;-1.151412157;-1.26075429;-1.915250494;-1.63960227;-0.634555342;-10.22245509;-0.758554349;-0.495772559;-0.379323845;-3.920564415;-1.413102423;-1.983386931;-6.13989098;-0.659583494;-0.243269076;-0.54950098;-0.762574962;-0.846429787;-1.173689739;-0.829028236;-5.395440298;-0.884502956;-1.556901662;-2.030113096;-0.496319536;-0.584982326;-0.444632346;-1.146689499;-0.736005077;-5.30011428;-0.340667205;-0.421715439;-1.442004442;-10.21326903;-0.804450612;-1.767301325;-1.472352445;-0.456735621;-0.357647139;-0.177306667;-1.962258115;-4.004037162;-2.06595595;-0.217087928;-0.447235521;-0.153098209;-0.886485931;-0.604365799;-1.926230419;-0.831813094;-5.428052008;-0.634762915;-0.365841939;-0.604075411;-2.333666532;-5.663659277;-0.384040713;-0.686704864;-0.762205096;-0.512066831;-7.35780128;-1.131887036;-0.863869682;-1.843647283;-3.824110207;-1.911771904;-1.897067741;-1.439431113;-0.658464887;-2.419576019;-0.672569657;-1.635500663;-0.47151553;-1.060552237;-1.361278924;-2.573390036;-0.669918165;-1.269266218;-0.401492512;-0.611842382;-4.263008245;-3.694535351;-1.521515469;-0.51627819;-2.01723361;-1.289251016;-2.712648116;-0.580972095;-8.902737405;-1.764519247;-0.13291215;-1.474750648;-0.110321143;-0.509734051;-0.503215774;-1.259235132;-0.765947495;-0.287865162;-1.360168888;-2.313594843;-0.341509428;-6.832408289;-2.394908649;-1.135242399;-2.45099024;-0.976731989;-0.946063752;-0.175090037;-0.465823363;-1.555970438;-1.195089996;-1.319390558;-0.451204556;-3.317179222
12;-6.918021409;-6.01653357;-1.854900506;-0.851506729;-0.620381345;-0.479308286;-1.073249886;-1.613155091;-0.840518272;-1.467114754;-1.037604393;-1.544513773;-0.768409955;-0.769494902;-0.490633439;-0.575436707;-1.510437929;-0.659583494;-0.186644879;-0.397329183;-0.711713324;-0.460508154;-0.993563231;-1.328628408;-0.995639223;-0.460166694;-1.370745021;-2.179909146;-0.508888999;-1.703730524;-0.401778865;-0.617143737;-1.734652891;-0.391968856;-0.091993484;-0.566936669;-0.631861741;-0.423458517;-1.636188179;-0.626356646;-1.222368986;-0.57756376;-0.396556642;-1.707866205;-0.323868506;-1.470111301;-0.638211002;-1.203955863;-0.60441939;-1.696613849;-0.829165274;-1.986158259;-0.16290488;-1.081629977;-0.310401194;-0.943469667;-6.540894502;-4.554863912;-1.00533532;-1.780790226;-4.261468334;-6.653290072;-1.810250298;-1.970494879;-0.960244272;-2.110971452;-1.545356237;-0.521512198;-1.566574018;-2.025119565;-0.850570577;-1.173804018;-0.341566545;-1.732612602;-1.377258223;-0.506028282;-0.524383729;-1.459102575;-1.823981324;-1.18550782;-1.429573972;-0.32804714;-1.289494865;-0.142239299;-1.555899802;-2.28562312;-1.85698603;-0.51627819;-10.65932505;-0.410549756;-0.494075966;-5.404140103;-0.57640345;-0.665809651;-1.348352758;-1.791428898;-0.632476817;-0.509734051;-0.97187411;-1.970130429;-0.548184496;-4.167043;-1.498249807;-1.399541663;-1.168771131;-1.842171119;-0.684268123;-1.231496051;-0.789855644;-0.426785313;-1.158394913;-0.145108275;-0.496637808;-5.693079763;-1.318650067;-1.314964217;-7.525706298;-0.150442828
13;-0.627996491;-0.966393998;-1.414593976;-0.23936532;-1.151412157;-1.26075429;-1.915250494;-1.63960227;-0.634555342;-10.22245509;-0.758554349;-0.495772559;-0.379323845;-3.920564415;-1.413102423;-1.983386931;-6.13989098;-0.659583494;-0.243269076;-0.54950098;-0.762574962;-0.846429787;-1.173689739;-0.829028236;-5.395440298;-0.884502956;-1.556901662;-2.030113096;-0.496319536;-0.584982326;-0.444632346;-1.146689499;-0.736005077;-5.30011428;-0.340667205;-0.421715439;-1.442004442;-10.21326903;-0.804450612;-1.767301325;-1.472352445;-0.456735621;-0.357647139;-0.177306667;-1.962258115;-4.004037162;-2.06595595;-0.217087928;-0.447235521;-0.153098209;-0.886485931;-0.604365799;-1.387485541;-0.831813094;-5.428052008;-0.634762915;-0.365841939;-0.604075411;-2.333666532;-5.663659277;-0.384040713;-0.686704864;-0.762205096;-0.512066831;-7.35780128;-1.131887036;-0.863869682;-1.843647283;-3.824110207;-1.911771904;-1.897067741;-1.439431113;-0.658464887;-2.419576019;-0.672569657;-1.635500663;-0.47151553;-1.060552237;-1.361278924;-2.573390036;-0.669918165;-1.269266218;-0.401492512;-0.611842382;-4.263008245;-3.694535351;-1.521515469;-0.51627819;-2.01723361;-1.289251016;-2.712648116;-0.580972095;-8.902737405;-1.764519247;-0.13291215;-1.474750648;-0.110321143;-0.509734051;-0.503215774;-1.259235132;-0.765947495;-0.287865162;-1.360168888;-2.313594843;-0.341509428;-6.832408289;-2.394908649;-1.135242399;-2.45099024;-0.976731989;-0.946063752;-0.175090037;-0.465823363;-1.555970438;-1.195089996;-1.319390558;-0.451204556;-3.317179222
14;-6.918021409;-6.01653357;-1.854900506;-0.851506729;-0.620381345;-0.479308286;-1.073249886;-1.613155091;-0.840518272;-1.467114754;-1.037604393;-1.544513773;-0.768409955;-0.769494902;-0.490633439;-0.575436707;-1.443043483;-0.659583494;-0.186644879;-0.397329183;-0.711713324;-0.460508154;-0.993563231;-1.328628408;-0.995639223;-0.460166694;-1.370745021;-2.179909146;-0.508888999;-1.703730524;-0.401778865;-0.617143737;-1.734652891;-0.391968856;-0.091993484;-0.566936669;-0.631861741;-0.423458517;-1.636188179;-0.626356646;-1.222368986;-0.57756376;-0.396556642;-1.707866205;-0.323868506;-1.470111301;-0.638211002;-1.203955863;-0.60441939;-1.696613849;-0.829165274;-1.986158259;-0.16290488;-1.081629977;-0.310401194;-0.943469667;-6.540894502;-4.554863912;-1.00533532;-1.780790226;-4.261468334;-2.158390922;-1.810250298;-1.970494879;-0.960244272;-2.110971452;-1.545356237;-0.521512198;-1.566574018;-2.025119565;-0.850570577;-1.173804018;-0.341566545;-1.732612602;-1.377258223;-0.506028282;-0.524383729;-1.459102575;-1.823981324;-1.18550782;-1.429573972;-0.32804714;-1.289494865;-0.142239299;-1.555899802;-2.28562312;-1.85698603;-0.51627819;-10.65932505;-0.410549756;-0.494075966;-5.404140103;-0.57640345;-0.665809651;-1.348352758;-1.791428898;-0.632476817;-0.509734051;-0.97187411;-0.732037871;-0.548184496;-4.167043;-1.498249807;-1.399541663;-1.168771131;-1.842171119;-0.684268123;-1.231496051;-0.789855644;-0.426785313;-1.158394913;-0.145108275;-0.496637808;-0.218001299;-1.318650067;-1.314964217;-7.525706298;-0.150442828
15;-0.627996491;-0.966393998;-1.414593976;-0.23936532;-1.151412157;-1.26075429;-1.915250494;-1.63960227;-0.634555342;-10.22245509;-0.758554349;-0.495772559;-0.379323845;-3.920564415;-1.413102423;-1.983386931;-6.13989098;-0.659583494;-0.243269076;-0.54950098;-0.762574962;-0.846429787;-1.173689739;-0.829028236;-5.395440298;-0.884502956;-1.556901662;-2.030113096;-0.496319536;-0.584982326;-0.444632346;-1.146689499;-0.736005077;-5.30011428;-0.340667205;-0.421715439;-1.442004442;-10.21326903;-0.804450612;-1.767301325;-1.472352445;-0.456735621;-0.357647139;-0.177306667;-1.962258115;-4.004037162;-2.06595595;-0.217087928;-0.447235521;-0.153098209;-0.886485931;-0.604365799;-1.387485541;-0.831813094;-5.428052008;-0.634762915;-0.365841939;-0.604075411;-2.333666532;-5.663659277;-0.384040713;-0.686704864;-0.762205096;-0.512066831;-7.35780128;-1.131887036;-0.863869682;-1.843647283;-3.824110207;-1.911771904;-1.897067741;-1.439431113;-0.658464887;-1.243022759;-0.672569657;-1.635500663;-0.47151553;-1.060552237;-1.361278924;-2.573390036;-0.669918165;-1.269266218;-0.401492512;-0.611842382;-4.263008245;-3.694535351;-1.521515469;-0.51627819;-0.448557729;-1.289251016;-2.712648116;-0.580972095;-8.902737405;-1.764519247;-0.13291215;-1.474750648;-0.110321143;-0.509734051;-0.503215774;-1.259235132;-0.765947495;-0.287865162;-1.360168888;-2.313594843;-0.341509428;-6.832408289;-2.394908649;-1.135242399;-2.45099024;-0.976731989;-0.946063752;-0.175090037;-0.465823363;-1.555970438;-1.195089996;-1.319390558;-0.451204556;-3.317179222
16;-6.918021409;-6.01653357;-1.854900506;-0.851506729;-0.620381345;-0.479308286;-1.073249886;-1.613155091;-0.840518272;-1.467114754;-1.037604393;-1.544513773;-0.768409955;-0.769494902;-0.490633439;-0.575436707;-1.443043483;-0.659583494;-0.186644879;-0.397329183;-0.711713324;-0.460508154;-0.993563231;-1.328628408;-1.198430096;-0.460166694;-1.370745021;-2.179909146;-0.508888999;-0.84212022;-0.401778865;-0.617143737;-1.734652891;-0.391968856;-0.091993484;-0.566936669;-0.631861741;-0.423458517;-1.636188179;-0.626356646;-1.222368986;-0.57756376;-0.396556642;-1.707866205;-0.323868506;-1.470111301;-0.638211002;-1.203955863;-0.60441939;-1.696613849;-0.829165274;-1.986158259;-0.16290488;-1.081629977;-0.310401194;-0.943469667;-6.540894502;-4.554863912;-1.00533532;-1.780790226;-4.261468334;-2.158390922;-1.810250298;-1.970494879;-0.960244272;-2.110971452;-1.545356237;-0.521512198;-1.566574018;-2.025119565;-0.850570577;-1.173804018;-0.341566545;-1.732612602;-1.377258223;-0.506028282;-0.524383729;-1.459102575;-1.823981324;-1.18550782;-1.429573972;-0.32804714;-1.289494865;-0.142239299;-1.555899802;-2.28562312;-1.85698603;-0.51627819;-10.65932505;-0.410549756;-0.494075966;-5.404140103;-0.57640345;-0.665809651;-1.348352758;-1.791428898;-0.632476817;-0.509734051;-0.97187411;-0.732037871;-0.548184496;-4.167043;-1.498249807;-1.399541663;-1.168771131;-1.842171119;-0.684268123;-1.231496051;-0.789855644;-0.426785313;-1.158394913;-0.145108275;-0.496637808;-0.218001299;-1.318650067;-1.314964217;-7.525706298;-0.150442828
17;-0.627996491;-0.966393998;-1.414593976;-0.23936532;-1.151412157;-1.26075429;-1.915250494;-1.63960227;-0.634555342;-10.22245509;-0.758554349;-0.495772559;-0.379323845;-3.920564415;-1.413102423;-1.983386931;-0.84783963;-0.659583494;-0.243269076;-0.54950098;-0.762574962;-0.846429787;-1.173689739;-0.829028236;-5.395440298;-0.884502956;-1.556901662;-2.030113096;-0.496319536;-0.584982326;-0.444632346;-1.146689499;-0.736005077;-5.30011428;-0.340667205;-0.421715439;-1.442004442;-10.21326903;-0.804450612;-1.767301325;-1.472352445;-0.456735621;-0.357647139;-0.177306667;-1.962258115;-4.004037162;-2.06595595;-0.217087928;-0.447235521;-0.153098209;-0.886485931;-0.604365799;-1.387485541;-0.831813094;-5.428052008;-0.634762915;-0.365841939;-0.604075411;-2.333666532;-5.663659277;-0.384040713;-0.686704864;-0.762205096;-0.512066831;-7.35780128;-1.131887036;-0.863869682;-1.843647283;-3.824110207;-1.911771904;-1.897067741;-1.439431113;-0.658464887;-1.243022759;-0.672569657;-1.635500663;-0.47151553;-1.060552237;-1.361278924;-2.573390036;-0.669918165;-1.269266218;-0.401492512;-0.611842382;-4.263008245;-3.694535351;-1.521515469;-0.51627819;-0.448557729;-1.289251016;-2.712648116;-0.580972095;-8.902737405;-1.764519247;-0.13291215;-1.474750648;-0.110321143;-0.509734051;-0.503215774;-1.259235132;-0.765947495;-0.287865162;-0.831636776;-2.313594843;-0.341509428;-6.832408289;-2.394908649;-1.135242399;-2.45099024;-0.976731989;-0.946063752;-0.175090037;-0.465823363;-1.555970438;-1.195089996;-1.319390558;-0.451204556;-3.317179222
18;-6.918021409;-6.01653357;-1.854900506;-0.851506729;-0.620381345;-0.479308286;-1.073249886;-1.613155091;-0.840518272;-1.467114754;-1.037604393;-1.544513773;-0.768409955;-0.769494902;-0.490633439;-0.575436707;-1.443043483;-0.659583494;-0.186644879;-0.397329183;-0.711713324;-0.460508154;-0.993563231;-1.328628408;-1.198430096;-0.460166694;-1.370745021;-2.179909146;-0.508888999;-1.963744373;-0.401778865;-0.617143737;-1.734652891;-0.391968856;-0.091993484;-0.566936669;-0.631861741;-0.423458517;-1.636188179;-0.626356646;-1.222368986;-0.57756376;-0.396556642;-1.707866205;-0.323868506;-1.470111301;-0.638211002;-1.203955863;-0.60441939;-1.696613849;-0.829165274;-1.986158259;-0.16290488;-1.081629977;-0.310401194;-0.943469667;-6.540894502;-4.554863912;-1.00533532;-1.780790226;-4.261468334;-2.158390922;-1.810250298;-1.970494879;-0.960244272;-2.110971452;-1.545356237;-0.521512198;-1.566574018;-2.025119565;-0.850570577;-0.43950741;-0.341566545;-1.732612602;-1.377258223;-0.506028282;-0.524383729;-1.459102575;-1.823981324;-1.18550782;-1.429573972;-0.32804714;-1.289494865;-0.142239299;-1.555899802;-2.28562312;-1.85698603;-0.51627819;-10.65932505;-0.410549756;-0.494075966;-5.404140103;-0.57640345;-0.665809651;-1.348352758;-1.791428898;-0.632476817;-0.509734051;-0.97187411;-0.732037871;-0.548184496;-4.167043;-1.498249807;-1.399541663;-1.168771131;-1.842171119;-0.684268123;-1.231496051;-0.789855644;-0.426785313;-1.158394913;-0.145108275;-0.496637808;-0.218001299;-1.318650067;-1.314964217;-7.525706298;-0.150442828
19;-0.627996491;-0.966393998;-0.364564178;-0.23936532;-1.151412157;-1.26075429;-1.915250494;-1.63960227;-0.634555342;-10.22245509;-0.758554349;-0.495772559;-0.379323845;-3.920564415;-1.413102423;-1.983386931;-0.84783963;-0.659583494;-0.243269076;-5.096651457;-0.762574962;-0.846429787;-1.173689739;-0.829028236;-5.395440298;-0.884502956;-1.556901662;-2.030113096;-0.496319536;-0.584982326;-0.444632346;-1.146689499;-0.736005077;-5.30011428;-0.340667205;-0.421715439;-1.442004442;-10.21326903;-0.804450612;-1.767301325;-1.472352445;-0.456735621;-0.357647139;-0.177306667;-1.962258115;-4.004037162;-2.06595595;-0.217087928;-0.447235521;-0.153098209;-0.886485931;-0.604365799;-1.387485541;-0.831813094;-5.428052008;-0.634762915;-0.365841939;-0.604075411;-2.333666532;-5.663659277;-0.384040713;-0.686704864;-0.762205096;-0.512066831;-7.35780128;-1.131887036;-0.863869682;-1.843647283;-3.824110207;-1.911771904;-1.897067741;-1.439431113;-0.658464887;-1.243022759;-0.672569657;-1.635500663;-0.47151553;-1.060552237;-1.361278924;-2.573390036;-0.669918165;-1.269266218;-0.401492512;-0.611842382;-4.263008245;-3.694535351;-1.521515469;-0.51627819;-0.448557729;-1.289251016;-2.712648116;-0.580972095;-8.902737405;-1.764519247;-0.13291215;-1.474750648;-0.110321143;-0.509734051;-0.503215774;-1.259235132;-0.765947495;-0.287865162;-0.831636776;-1.470256733;-0.341509428;-6.832408289;-2.394908649;-1.135242399;-2.45099024;-0.976731989;-0.946063752;-0.175090037;-0.465823363;-1.555970438;-1.195089996;-1.319390558;-0.451204556;-3.317179222
20;-6.918021409;-6.01653357;-1.854900506;-0.851506729;-0.620381345;-0.479308286;-1.073249886;-1.613155091;-0.840518272;-1.467114754;-1.037604393;-1.544513773;-0.768409955;-0.769494902;-0.490633439;-0.575436707;-1.443043483;-0.659583494;-0.186644879;-0.397329183;-0.711713324;-0.460508154;-0.993563231;-1.328628408;-1.198430096;-1.530201809;-1.370745021;-2.179909146;-0.508888999;-1.963744373;-0.401778865;-0.617143737;-1.734652891;-0.391968856;-0.091993484;-0.566936669;-0.631861741;-0.423458517;-1.636188179;-0.626356646;-1.222368986;-0.57756376;-0.396556642;-1.707866205;-0.323868506;-1.470111301;-0.638211002;-1.203955863;-0.60441939;-1.696613849;-0.829165274;-1.986158259;-0.16290488;-1.081629977;-0.310401194;-0.943469667;-6.540894502;-4.554863912;-1.00533532;-1.780790226;-4.261468334;-2.158390922;-1.810250298;-1.970494879;-0.960244272;-2.110971452;-1.545356237;-0.521512198;-1.566574018;-2.025119565;-0.850570577;-0.43950741;-0.341566545;-0.382140049;-1.377258223;-0.506028282;-0.524383729;-1.459102575;-1.823981324;-1.18550782;-1.429573972;-0.32804714;-1.289494865;-0.142239299;-1.555899802;-2.28562312;-1.85698603;-0.51627819;-10.65932505;-0.410549756;-0.494075966;-5.404140103;-0.57640345;-0.665809651;-1.348352758;-1.791428898;-0.632476817;-0.509734051;-0.97187411;-0.732037871;-0.548184496;-4.167043;-1.498249807;-1.399541663;-1.168771131;-1.842171119;-0.684268123;-1.231496051;-0.789855644;-0.426785313;-1.158394913;-0.145108275;-0.496637808;-0.218001299;-1.318650067;-1.314964217;-7.525706298;-0.150442828
21;-0.627996491;-0.966393998;-0.364564178;-0.23936532;-1.151412157;-1.26075429;-1.915250494;-1.63960227;-0.634555342;-10.22245509;-0.758554349;-0.495772559;-0.379323845;-3.920564415;-1.413102423;-1.983386931;-0.84783963;-0.659583494;-0.243269076;-5.096651457;-0.762574962;-0.846429787;-1.173689739;-0.829028236;-5.395440298;-0.884502956;-1.556901662;-2.030113096;-0.496319536;-0.584982326;-0.444632346;-1.146689499;-0.736005077;-5.30011428;-0.340667205;-0.421715439;-1.442004442;-10.21326903;-0.804450612;-1.767301325;-1.472352445;-0.456735621;-0.357647139;-0.177306667;-1.962258115;-4.004037162;-2.06595595;-0.217087928;-0.447235521;-0.153098209;-0.886485931;-0.604365799;-1.387485541;-0.831813094;-5.428052008;-0.634762915;-0.365841939;-0.604075411;-2.333666532;-5.663659277;-0.384040713;-0.686704864;-0.762205096;-0.512066831;-7.35780128;-1.131887036;-0.863869682;-1.843647283;-3.824110207;-1.911771904;-1.897067741;-1.439431113;-0.658464887;-1.243022759;-0.672569657;-1.635500663;-0.47151553;-1.060552237;-1.361278924;-2.573390036;-0.669918165;-1.269266218;-0.401492512;-0.611842382;-4.263008245;-3.694535351;-1.521515469;-0.51627819;-0.448557729;-1.289251016;-2.712648116;-0.580972095;-8.902737405;-1.764519247;-0.13291215;-1.474750648;-0.110321143;-0.509734051;-0.503215774;-1.259235132;-0.765947495;-0.287865162;-0.831636776;-1.470256733;-0.341509428;-6.832408289;-2.394908649;-1.135242399;-2.45099024;-0.976731989;-0.946063752;-0.175090037;-0.465823363;-0.191407855;-1.195089996;-1.319390558;-0.451204556;-3.317179222
22;-6.918021409;-6.01653357;-1.854900506;-0.851506729;-0.620381345;-0.479308286;-1.073249886;-1.613155091;-0.840518272;-1.467114754;-1.037604393;-1.544513773;-0.768409955;-0.769494902;-0.490633439;-0.575436707;-1.443043483;-0.659583494;-0.186644879;-0.397329183;-0.711713324;-0.460508154;-0.993563231;-1.328628408;-1.198430096;-1.530201809;-1.370745021;-2.179909146;-0.508888999;-1.963744373;-0.401778865;-0.617143737;-1.734652891;-0.391968856;-0.091993484;-0.566936669;-0.631861741;-0.423458517;-1.636188179;-0.626356646;-1.222368986;-0.57756376;-0.396556642;-1.707866205;-0.323868506;-1.470111301;-0.638211002;-1.203955863;-0.60441939;-1.696613849;-0.829165274;-1.986158259;-0.16290488;-1.081629977;-0.310401194;-0.943469667;-6.540894502;-4.554863912;-1.00533532;-1.780790226;-4.261468334;-2.158390922;-1.810250298;-1.970494879;-0.960244272;-2.110971452;-1.545356237;-0.521512198;-1.566574018;-2.025119565;-0.850570577;-0.43950741;-0.341566545;-0.382140049;-1.377258223;-0.506028282;-0.524383729;-1.459102575;-1.823981324;-1.18550782;-1.429573972;-0.32804714;-1.289494865;-0.142239299;-1.555899802;-2.28562312;-1.85698603;-0.51627819;-10.65932505;-0.410549756;-0.494075966;-5.404140103;-0.57640345;-0.665809651;-1.348352758;-1.791428898;-0.632476817;-0.509734051;-0.97187411;-0.732037871;-0.548184496;-4.167043;-1.498249807;-1.399541663;-1.168771131;-1.842171119;-0.684268123;-1.231496051;-0.789855644;-0.426785313;-1.158394913;-0.145108275;-0.496637808;-0.218001299;-1.318650067;-1.314964217;-7.525706298;-0.150442828
23;-0.627996491;-0.966393998;-0.364564178;-0.23936532;-1.151412157;-1.26075429;-1.915250494;-1.63960227;-0.634555342;-10.22245509;-0.758554349;-0.495772559;-0.379323845;-3.920564415;-1.413102423;-1.983386931;-0.84783963;-0.659583494;-0.243269076;-5.096651457;-0.762574962;-0.846429787;-1.173689739;-0.829028236;-5.395440298;-0.884502956;-1.556901662;-2.030113096;-0.496319536;-0.584982326;-1.217297711;-1.146689499;-0.736005077;-5.30011428;-0.340667205;-0.421715439;-1.442004442;-10.21326903;-0.804450612;-1.767301325;-1.472352445;-0.456735621;-0.357647139;-0.177306667;-1.962258115;-4.004037162;-2.06595595;-0.217087928;-0.447235521;-0.153098209;-0.886485931;-0.604365799;-1.387485541;-0.831813094;-5.428052008;-0.634762915;-0.365841939;-0.604075411;-2.333666532;-5.663659277;-0.384040713;-0.686704864;-0.762205096;-0.512066831;-7.35780128;-0.640263193;-0.863869682;-1.843647283;-3.824110207;-1.911771904;-1.897067741;-1.439431113;-0.658464887;-1.243022759;-0.672569657;-1.635500663;-0.47151553;-1.060552237;-1.361278924;-2.573390036;-0.669918165;-1.269266218;-0.401492512;-0.611842382;-4.263008245;-3.694535351;-1.521515469;-0.51627819;-0.448557729;-1.289251016;-2.712648116;-0.41880163;-8.902737405;-1.764519247;-0.13291215;-1.474750648;-0.110321143;-0.509734051;-0.503215774;-1.259235132;-0.765947495;-0.287865162;-0.831636776;-1.470256733;-0.341509428;-6.832408289;-2.394908649;-1.135242399;-2.45099024;-0.976731989;-0.946063752;-0.175090037;-0.465823363;-0.191407855;-1.195089996;-1.319390558;-0.451204556;-3.317179222
24;-6.918021409;-6.01653357;-1.854900506;-0.851506729;-0.620381345;-0.479308286;-1.073249886;-1.613155091;-0.840518272;-1.467114754;-1.037604393;-1.544513773;-0.768409955;-0.769494902;-0.490633439;-0.575436707;-1.443043483;-0.659583494;-0.186644879;-0.397329183;-0.391269112;-0.460508154;-0.993563231;-1.328628408;-8.357265697;-1.530201809;-1.370745021;-2.179909146;-0.508888999;-1.963744373;-0.401778865;-0.617143737;-1.734652891;-0.391968856;-0.091993484;-0.566936669;-0.631861741;-0.423458517;-1.636188179;-0.626356646;-1.222368986;-0.57756376;-0.396556642;-1.707866205;-0.323868506;-1.470111301;-0.638211002;-1.203955863;-0.60441939;-1.696613849;-0.829165274;-1.986158259;-0.16290488;-1.081629977;-0.310401194;-0.943469667;-6.540894502;-4.554863912;-1.00533532;-1.780790226;-4.261468334;-2.158390922;-1.810250298;-1.970494879;-0.960244272;-2.110971452;-1.545356237;-0.521512198;-1.566574018;-2.025119565;-0.850570577;-0.43950741;-0.341566545;-0.382140049;-1.377258223;-0.506028282;-0.524383729;-1.459102575;-1.823981324;-1.18550782;-1.429573972;-0.32804714;-1.289494865;-0.142239299;-1.555899802;-2.28562312;-1.85698603;-0.51627819;-10.65932505;-0.410549756;-0.494075966;-5.404140103;-0.57640345;-0.665809651;-1.348352758;-1.791428898;-0.632476817;-0.509734051;-0.97187411;-0.732037871;-0.548184496;-4.167043;-1.498249807;-1.399541663;-1.168771131;-1.842171119;-0.684268123;-1.231496051;-0.789855644;-0.426785313;-1.158394913;-0.145108275;-0.496637808;-0.218001299;-1.318650067;-1.314964217;-7.525706298;-0.150442828
25;-0.627996491;-0.966393998;-0.364564178;-0.23936532;-1.151412157;-1.26075429;-1.915250494;-1.63960227;-0.634555342;-10.22245509;-0.758554349;-0.495772559;-0.379323845;-3.920564415;-1.413102423;-1.983386931;-0.84783963;-0.659583494;-0.243269076;-5.096651457;-0.762574962;-0.846429787;-1.173689739;-0.829028236;-5.395440298;-0.884502956;-1.556901662;-2.030113096;-0.496319536;-0.584982326;-1.217297711;-1.146689499;-0.736005077;-5.30011428;-0.340667205;-0.421715439;-1.442004442;-10.21326903;-0.804450612;-1.767301325;-1.472352445;-0.456735621;-0.357647139;-0.177306667;-1.962258115;-4.004037162;-2.06595595;-0.217087928;-0.447235521;-0.153098209;-0.886485931;-0.604365799;-1.387485541;-0.831813094;-5.428052008;-0.634762915;-0.365841939;-0.604075411;-2.333666532;-5.663659277;-0.384040713;-0.686704864;-0.762205096;-0.512066831;-7.35780128;-0.640263193;-0.863869682;-1.843647283;-3.824110207;-1.911771904;-1.897067741;-1.439431113;-0.658464887;-1.243022759;-0.672569657;-0.811653288;-0.47151553;-1.060552237;-1.361278924;-2.573390036;-0.669918165;-1.269266218;-0.401492512;-0.611842382;-0.507474362;-3.694535351;-1.521515469;-0.51627819;-0.448557729;-1.289251016;-2.712648116;-0.41880163;-8.902737405;-1.764519247;-0.13291215;-1.474750648;-0.110321143;-0.509734051;-1.066773989;-1.259235132;-0.765947495;-0.287865162;-0.831636776;-1.470256733;-0.341509428;-6.832408289;-2.394908649;-1.135242399;-2.45099024;-0.976731989;-0.946063752;-0.175090037;-0.465823363;-0.191407855;-1.195089996;-1.319390558;-0.451204556;-3.317179222
26;-6.918021409;-6.01653357;-0.515495803;-0.851506729;-0.620381345;-0.479308286;-1.073249886;-1.613155091;-0.840518272;-1.467114754;-1.037604393;-1.544513773;-0.768409955;-0.769494902;-1.52877761;-0.575436707;-1.443043483;-1.12374847;-0.186644879;-0.397329183;-0.391269112;-0.460508154;-0.993563231;-1.328628408;-8.357265697;-1.530201809;-1.370745021;-2.179909146;-0.508888999;-1.963744373;-0.401778865;-0.617143737;-1.734652891;-0.391968856;-0.091993484;-0.566936669;-0.602702941;-0.423458517;-1.636188179;-0.626356646;-1.222368986;-0.57756376;-0.396556642;-1.707866205;-0.323868506;-1.470111301;-0.638211002;-1.203955863;-0.60441939;-1.696613849;-0.829165274;-1.986158259;-0.16290488;-1.081629977;-0.310401194;-0.943469667;-6.540894502;-4.554863912;-1.00533532;-1.780790226;-4.261468334;-2.158390922;-1.810250298;-1.970494879;-0.84457727;-2.110971452;-1.545356237;-0.521512198;-1.566574018;-2.025119565;-0.850570577;-0.43950741;-0.341566545;-0.382140049;-1.377258223;-0.506028282;-0.524383729;-1.459102575;-1.823981324;-1.18550782;-1.429573972;-0.32804714;-1.289494865;-0.142239299;-1.555899802;-2.28562312;-1.85698603;-0.51627819;-10.65932505;-0.410549756;-0.494075966;-5.404140103;-0.57640345;-0.665809651;-1.348352758;-1.791428898;-0.632476817;-0.509734051;-0.97187411;-0.732037871;-0.548184496;-4.167043;-1.498249807;-1.399541663;-1.168771131;-1.842171119;-0.684268123;-1.231496051;-0.789855644;-0.426785313;-1.158394913;-0.145108275;-0.496637808;-0.218001299;-1.318650067;-1.314964217;-7.525706298;-0.150442828
